No.,scientific_name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Caesionidae,0,200,200,200,200,200,200,200,200,200,200,300,300,300,300,400,400,400,400,400,210,210,410,510,1073,1233,1487,2537,1122,2139,1697,1180,994,2165,1739,2397,2531,3631,3412,4531,3426,3287,3976,4799,4998,5390,4198,14025,14016,14749,13222,6054,4691,6373,4917,5903,6191,8246,7409,7262,10055,20338,13576,15263,15514,16066,14760,15010,15900,16310
2,Sphyrnidae,0,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,7,6,6,7,8,9,13,15,18,19,16,18,20,27,26,27,220,228,232,286,315,321,389,408,610,780,808,843,1059,975,1220,1139,926,765,934,938,1107,1030,1100,1293,1546,1658,1704,1644,1963,1582,1569,1571,1629,1614,1642
3,Gymnosarda unicolor,0,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,7,6,6,7,8,9,13,15,17,78,75,84,94,125,123,127,132,151,153,187,204,160,187,171,254,278,284,327,343,399,417,728,708,615,631,743,958,862,1084,1061,1244,1276,1324,1308,1492,1359,1334,1266,1266,1028,1171
4,Synodontidae,0,0,0,0,0,0,0,0,0,0,0,500,700,400,800,300,500,1400,1100,1600,2730,2680,2560,2720,4012,2875,5202,9917,8749,6288,3852,4925,5498,4933,4781,5320,5729,7053,4895,7458,9154,10334,12557,17891,21126,20343,20840,20412,50086,21617,27723,18054,19272,18986,25449,17265,17076,19972,25289,26635,33384,27867,40500,46819,59209,67765,81150,59830,68953,84598
5,Scombridae,0,0,0,0,100,0,0,0,100,100,200,0,0,0,0,3000,3000,3000,3000,4000,3600,5100,6200,4900,4307,8026,11024,9187,7886,13400,13898,12924,11330,15544,13137,13384,13541,13691,13725,13606,11271,12700,14001,11254,16912,18113,18202,20002,20900,22828,22642,17205,17715,18604,19049,10231,17391,18085,19500,21795,26272,31554,36832,39278,35730,31262,40844,113224,140425,136817
6,Drepane punctata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,70,70,68,212,125,52,60,79,34,10,19,70,147,69,437,303,269,94,92,158,87,67,33,17,51,23,30,58,53,26,59,125,143,146,155,169,173,247,257,271,364,442,400,536,509,428,606,628
7,Invertebrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,331,340,16,47,69,113,98,163,24,47,34,12,35,104,127,132,135,196,167,139,211,720,197,213,272,592,757,914,1976,1040,2903,1884,1863,998,2648,1628,25066,17080,12814,20071,49834,30161,31038,31877,32450
8,Upeneus spp,0,200,200,500,600,500,2800,1000,700,600,800,800,700,900,900,800,900,1600,1500,1500,2190,2390,2190,1620,2591,6436,7453,7461,6567,5840,6949,3989,5132,5720,4320,5910,9324,10303,3985,12930,16756,17308,15239,18657,18379,17546,19553,20030,21738,24098,18883,25098,25548,31541,26356,26013,27252,31180,51234,46818,46016,48675,52274,61856,49822,51392,48954,40119,42108,43803
9,Psettodes erumei,0,100,200,200,200,200,200,200,200,200,200,200,200,300,300,300,300,300,300,400,400,500,400,300,429,380,1590,2847,2221,3019,1304,1259,767,866,1235,1612,1788,1624,1953,2184,2116,2234,2354,3733,6570,6093,10863,11025,7336,7227,6858,7409,8119,9567,7359,10383,11655,8906,8415,7224,6791,10612,11312,12368,10606,7709,8533,6215,9137,9395
10,Haemulidae (=Pomadasyidae),0,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,300,300,300,200,168,655,652,1042,740,1446,1190,826,859,1064,869,1196,2161,2283,2525,2572,3040,2746,2943,2975,2816,3755,4359,4974,5207,5563,5785,3921,3288,3574,3817,3505,3838,4663,4356,3849,3330,4730,4240,4218,4527,2576,2726,1193,2949,3018
11,Sphyraena spp,0,0,0,100,2000,200,1700,200,400,500,1000,700,500,600,1000,900,700,1500,1200,1300,1490,1160,1160,1120,2146,1917,2137,2694,4538,4625,4236,4754,4973,5217,5696,5552,5774,5753,6359,6579,8915,10952,11060,9894,11062,12834,15942,15805,16588,17179,14539,13473,15250,12451,13875,9724,10282,6886,29612,15110,17151,18203,12464,12023,18072,24593,30927,27543,35148,28529
12,Brachyura,0,0,0,0,0,0,0,0,0,0,0,800,1200,1100,1000,1100,1500,1700,1700,2000,1660,1280,1130,1800,1776,2503,3209,3498,3749,2830,2826,2903,4521,4483,4536,4265,5106,3156,3103,4182,4553,6593,9903,18663,17474,9869,10112,11273,12911,14136,29133,27664,27623,27371,25766,24665,24997,38481,42988,47182,43485,28530,38334,51595,43179,43979,53722,52438,55724,57473
13,Plotosus spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,300,500,400,400,340,210,210,140,204,308,276,330,623,544,662,817,1468,1596,1004,1104,2218,819,582,826,1294,707,700,916,911,1104,881,712,742,888,1437,1219,1130,1212,1063,986,1466,1452,1242,1632,1639,1895,1651,1884,1820,1798,1550,2035,2077,2373
14,Sparidae,100,100,100,200,100,100,100,200,100,100,100,100,100,200,100,300,200,1000,400,400,500,600,400,0,54,48,39,234,218,467,344,897,392,385,558,597,1070,1264,1109,1886,1307,1139,260,320,643,555,278,116,159,991,2468,1509,1472,407,447,540,483,192,330,151,155,186,209,187,150,154,157,218,171,180
15,Seriola spp,100,200,200,200,200,100,200,300,300,300,200,200,400,400,300,100,100,100,100,0,100,100,100,100,86,82,79,68,41,57,40,61,78,79,74,78,110,140,147,123,157,150,5,7,102,105,100,10,10,1,2,2,1,3,6,0,0,0,2,1,0,0,0,0,0,0,0,0,8,3
16,Pomatomus saltatrix,100,100,100,100,100,100,100,200,200,100,200,200,100,100,100,100,100,100,100,100,100,100,100,0,39,58,70,37,29,80,93,103,97,74,49,52,73,93,98,82,104,100,48,45,49,54,56,0,0,0,0,0,0,0,62,40,15,0,0,0,0,0,0,0,0,0,1,0,0,0
17,Scomberomorus lineolatus,27,51,33,20,34,29,94,40,53,40,56,33,42,57,52,39,59,82,95,93,103,121,133,97,110,79,109,123,118,149,157,161,101,135,98,48,88,62,216,61,43,54,389,62,48,65,56,335,63,69,42,33,26,29,30,23,25,66,27,24,29,24,20,18,28,16,17,31,0,0
