variable,year,mean,sd,lower,upper
b_t,1951,29244.6024876741,22921.4130519224,7642.82874668624,69490.9975380155
b_t,1952,23.776380704457,42.2979256825716,0.877888832860497,88.0585239269733
b_t,1953,1.85244567333904,8.61620614797546,0.0217189314410017,3.43782082798064
b_t,1954,0.120515020216725,0.367583913879628,0.00662518474050004,0.468336676296695
b_t,1955,0.0801370162223824,0.405151994910197,0.00582254281186236,0.198201386094695
b_t,1956,0.0480554185438871,0.166521173646117,0.00490957013759828,0.129175599723969
b_t,1957,0.0445138702182444,0.23639344484362,0.00538001430839447,0.102557702653704
b_t,1958,0.0504215822517146,0.12037936503306,0.00531325191958386,0.176178848064476
b_t,1959,0.0978523976739421,0.287198359991971,0.00613886153101708,0.36635540524085
b_t,1960,0.247153309910008,0.660240449231795,0.0103110151434496,0.959913407179917
b_t,1961,3.63762577066972,5.99604553627136,0.192669833547322,13.6798822642618
b_t,1962,1314.25746279808,2115.43239826149,200.929773666823,3949.03214147259
b_t,1963,8104.39592334052,13228.6789793998,573.556960598647,27790.6566666621
b_t,1964,16292.2517220844,26007.2264327494,917.578938282578,54161.5148948917
b_t,1965,19645.7473120224,29379.8763029597,930.886316732444,73011.7633012418
b_t,1966,15713.5223352718,19416.8811503164,1251.77840103014,49330.0243551663
b_t,1967,16343.4930141995,22244.7639984094,767.59752380983,54259.6898609668
b_t,1968,18938.8674963564,23838.1527190339,1345.72733690987,63860.2448937242
b_t,1969,18475.4054910754,24411.8397670534,1673.2002458085,59341.5790084783
b_t,1970,17097.8107846429,24823.1402738577,1176.000380729,58133.1923429665
b_t,1971,19025.5138411993,28007.1140520197,1433.26211779308,62559.5435846262
b_t,1972,7747.93532032916,21347.8008782924,262.544050686649,28273.8082717148
b_t,1973,164.723977237348,527.213723348533,3.27189113625795,555.258290339425
b_t,1974,1326.13054348511,2834.11973132419,61.3907034755192,4872.03057199053
b_t,1975,2509.47501732294,5091.11603909506,95.3561633064078,9218.02654923173
b_t,1976,5165.87967321104,9674.86169736516,224.016446749861,18133.2547040935
b_t,1977,6408.62976536762,11537.8603586284,370.161520984122,22231.0432334737
b_t,1978,6701.36894266824,10227.6265962465,406.304071087212,23192.9573902584
b_t,1979,11928.7709177002,16712.467252509,831.374879309646,41068.073593986
b_t,1980,17964.3203994548,25814.9631926239,1406.57784286269,58651.7811521183
b_t,1981,16686.2086838821,19786.1157939535,1498.94068061324,56148.8878723162
b_t,1982,15833.382993201,22492.3856387494,785.428052436574,51488.0824468066
b_t,1983,17205.3200116679,22439.5272788134,1265.0520645622,57485.2648447124
b_t,1984,18075.3737690915,23808.6599279191,1172.07612705272,60260.3803580798
b_t,1985,17570.9109713557,23373.130127344,907.068681727407,59677.6858756413
b_t,1986,18933.2122484092,22222.7919956566,1276.74143572344,60101.4459465825
b_t,1987,16600.1907097151,21368.1136142201,1006.60114480084,55182.3802384597
b_t,1988,15808.6164195774,22106.1287660427,793.226164021915,54857.0355823163
b_t,1989,17423.835295336,25218.9173667639,1625.02738631817,56309.7042573996
b_t,1990,19560.7190922458,24705.2907283315,1559.09128267969,66004.3580223528
b_t,1991,17633.9658047247,24582.7102141741,1613.8708186533,61146.0058008952
b_t,1992,19387.9330849616,28439.6271642731,1498.99984905732,64212.4429997945
b_t,1993,18404.4419166262,23851.9205148388,1921.78579307052,59143.5943963645
b_t,1994,19332.6852347581,23326.6429322814,1618.34454946558,65453.1819745132
b_t,1995,19461.4517683578,28165.4961799658,1450.52109744979,67862.4938128702
b_t,1996,16046.3277072656,21876.9531443707,1289.31147411782,55344.0583903525
b_t,1997,14532.5265270945,18925.411423657,1255.64664127964,46591.6050103187
b_t,1998,13608.8820301744,19459.2479583367,981.061276484122,47244.5909899848
b_t,1999,12221.6176826837,17424.5872227029,734.07801140689,43271.933868746
b_t,2000,10257.0571657789,15679.6837082232,607.194604221899,38997.568956991
b_t,2001,10872.3251795872,14800.5681970737,769.750435158921,39228.9469233985
b_t,2002,12109.6420026653,18733.6428828808,959.62408882909,38832.6396356201
b_t,2003,8529.41039318436,12599.8000382867,771.413355590308,29221.6027892745
b_t,2004,8599.07918999578,12875.9422163687,481.632871037622,30154.0365813488
b_t,2005,8495.07710259773,15147.6997246126,440.334313589028,33765.6224914249
b_t,2006,8990.4641537197,16758.2088120968,562.04394669325,31270.4134925014
b_t,2007,8209.52550470648,14522.0746364615,487.144236401737,28427.665851882
b_t,2008,9928.50148896918,24277.3334918178,471.615916337725,31663.7508392616
b_t,2009,6315.33424615297,10889.7594447159,338.762671276766,21534.8535698247
b_t,2010,6691.74163818061,11757.6372976672,347.929155069124,23974.7512369521
b_t,2011,7571.03280306253,12691.0940667697,427.279658312816,28169.8017310865
b_t,2012,7130.21247526677,13342.4159740492,550.562988635699,24858.7262526987
b_t,2013,7791.21938460812,14386.1300027276,499.557811156303,27923.2395257177
