variable,year,mean,sd,lower,upper
b_t,1951,3447.83249533961,49.113243949662,3372.22035194338,3521.2092625626
b_t,1952,8748.57713306298,117.545198416702,8571.84144419976,8941.4394149492
b_t,1953,0.164158279725021,0.0577076623135487,0.0843649505504832,0.26161203993192
b_t,1954,0.37282736574945,0.13354370329139,0.187696980978397,0.597100884580981
b_t,1955,0.343476615436594,0.117882000716551,0.179015372199158,0.541416925698308
b_t,1956,0.250250727753278,0.0875868292338107,0.12861407294029,0.394986281407381
b_t,1957,0.311394108192639,0.110594670730977,0.156990739061013,0.495642169844989
b_t,1958,0.459547488048929,0.176444748736555,0.21254488699413,0.747875465247306
b_t,1959,0.314240390163846,0.117534239333377,0.149385752781606,0.507273490446357
b_t,1960,0.454132542724425,0.167827472115935,0.221850892108787,0.734145525304705
b_t,1961,0.700200223335279,0.247546763675906,0.360965250722974,1.11318527724957
b_t,1962,1.36954336513072,0.450064661874226,0.752941746187405,2.13657203867084
b_t,1963,1.18672865821643,0.388199293333433,0.65657901472361,1.84800546120331
b_t,1964,3.03046248284551,1.05980353798481,1.55455508791211,4.81425960415576
b_t,1965,117.926933513751,20.683822417187,93.2103159088812,152.004790313288
b_t,1966,198.116365710875,44.4255606634181,146.587301697067,275.112447768801
b_t,1967,157.927806435879,39.2077650288217,109.151210592594,222.375987348572
b_t,1968,148.135200342966,38.2017211248011,97.924461905799,221.382921735403
b_t,1969,111.597533860084,34.0289623800556,66.3000487402266,173.752844004375
b_t,1970,258.913065704353,99.3833649569088,133.652646584088,450.605300644771
b_t,1971,1136.84942696862,459.559347759431,519.282092666517,2008.27621790928
b_t,1972,2515.87634944241,869.947877854599,1243.39187326851,4057.95501610941
b_t,1973,719.480889317439,190.389296224575,433.178525250169,1029.3025378188
b_t,1974,1388.83080680379,369.573434657342,831.031590833753,1989.67194535013
b_t,1975,1630.77887456037,368.165038855796,1046.81353037265,2194.95939403723
b_t,1976,1142.36532518977,221.07441062438,755.171176964261,1477.35807451684
b_t,1977,751.302140528925,145.250818109977,499.584791125997,968.450081062473
b_t,1978,2138.80910598814,396.233555689674,1440.55607040545,2714.12112106761
b_t,1979,1421.70391082683,229.675342971213,1035.68057414986,1742.11785178082
b_t,1980,3159.5260915992,462.73352196316,2360.27814927751,3766.50043953468
b_t,1981,1639.40887082883,132.626832504427,1432.9094435631,1802.37691255189
b_t,1982,2545.74993692686,165.17875771872,2304.05506734899,2749.58597020385
b_t,1983,2808.10660594274,128.218781128206,2636.08286309332,2971.32170011881
b_t,1984,4649.08926049742,237.704022417622,4271.3288441875,5003.15275840833
b_t,1985,6979.70238653573,130.50874344381,6773.4025076002,7162.84169398891
b_t,1986,5535.45634361797,230.691183486776,5149.99332976986,5918.65976222081
b_t,1987,4942.57679557914,251.316557153711,4575.24524739908,5363.3008740715
b_t,1988,2157.34877222449,49.9159582665619,2084.30026762751,2235.55958193554
b_t,1989,2422.24303983149,68.6307741620486,2321.48338835223,2552.52032277786
b_t,1990,2755.73998863045,41.841398060059,2692.1384320933,2824.01774187944
b_t,1991,3493.45334141957,86.2384811914484,3379.10939070194,3646.70916531717
b_t,1992,1618.46539863019,22.0317681214466,1583.99670396158,1658.35824188135
b_t,1993,5038.05018053894,136.253278103544,4813.42915111483,5251.37143210066
b_t,1994,1229.9855713922,46.0665076169506,1165.4052056838,1303.63954674564
b_t,1995,3957.42377715895,111.881061696297,3788.6552733754,4141.96914699437
b_t,1996,6721.95480769024,186.242200491608,6394.12968687758,6995.02811017804
b_t,1997,1100.13609757244,63.683873703903,1003.99711247038,1216.4039391218
b_t,1998,2354.90706538854,107.321100949503,2183.88275296301,2537.27704563043
b_t,1999,1628.06844714949,52.5201531803811,1542.25491358239,1715.44167741359
b_t,2000,2248.08834731607,82.8413979015443,2123.53921502341,2410.0572079792
b_t,2001,1445.09726483829,60.6339657513471,1349.45221934519,1551.29127682371
b_t,2002,2770.14275413002,80.3853596413606,2650.85543679288,2905.0093104172
b_t,2003,5877.71240431792,123.651371576126,5712.70646413551,6098.05221409339
b_t,2004,8205.36781129805,151.055153630574,7963.09270732599,8445.38524084277
b_t,2005,819.898870072054,261.013348795471,461.948016616046,1305.54930507229
b_t,2006,1771.99292390553,614.021006917082,940.633760673996,2873.54829395679
b_t,2007,2869.76856290489,708.487816714473,1731.11462030185,3913.7129372738
b_t,2008,2573.88026689276,386.153268194784,1922.14469968755,3146.61329191743
b_t,2009,1378.37711055522,149.930196431505,1127.91423553072,1582.1482203987
b_t,2010,2553.44505491478,308.44936295048,2067.15852669353,2982.23578769082
b_t,2011,4267.12285274554,399.629656629801,3671.6683754761,4786.5312402032
b_t,2012,3267.40867957152,129.623078053014,3152.96709470755,3435.40230965254
b_t,2013,4374.28563900098,209.697913325273,4077.1747722,4733.28242220933
b_t,2014,2659.27565263348,122.254951130096,2454.62825917618,2833.18629830132
b_t,2015,2433.76483211903,103.930623961192,2202.55646013575,2579.14226656964
b_t,2016,1516.74784925962,121.649959091512,1323.33814051058,1707.89185356478
b_t,2017,940.744281054346,61.8492874580637,847.104196490377,1045.13970182162
b_t,2018,1060.86029957958,92.0308463532927,914.639345025777,1214.2214404069
b_t,2019,1279.24349025309,171.90043445807,1011.0673953697,1566.63614857884
bmsy,1951,1709.65902180652,24.5638457185913,1671.10530542304,1744.85926404648
ck,1951,2.92516456912328e-08,4.21220007982553e-10,2.86556062882999e-08,2.99203167302617e-08
ck,1952,2.92516456912328e-08,4.21220007982553e-10,2.86556062882999e-08,2.99203167302617e-08
ck,1953,2.92516456912328e-08,4.21220007982553e-10,2.86556062882999e-08,2.99203167302617e-08
ck,1954,2.92516456912328e-08,4.21220007982553e-10,2.86556062882999e-08,2.99203167302617e-08
