variable,year,mean,sd,lower,upper
b_t,1951,7598.84482504747,235.189668517273,7217.88914266155,8008.62595503281
b_t,1952,7405.11766451923,244.963517130679,7020.17185277144,7804.75411445419
b_t,1953,7860.27377486696,503.532876768432,7023.87277721744,8548.36151060607
b_t,1954,8194.69693143733,423.082345849829,7604.24019717513,8885.86317804703
b_t,1955,10485.1028554465,325.396376029026,9938.80059432899,10936.6092406828
b_t,1956,8076.78074952447,307.925244743389,7491.65765696632,8435.11327292064
b_t,1957,7451.29412922427,582.553826255334,6303.01375479718,8249.56744536705
b_t,1958,6616.7085546835,378.603185246074,5906.32756253374,7125.4131355776
b_t,1959,6316.47474259541,371.45632044362,5660.87183250243,6954.16959103623
b_t,1960,5390.01882354113,271.156467007814,4939.7536387672,5893.80355210689
b_t,1961,5338.8232374037,184.085627879867,5025.61288460919,5613.60381352407
b_t,1962,3784.60168289026,291.594686498306,3365.70075899442,4252.42532053775
b_t,1963,3666.84448596391,246.683765302494,3261.67049826046,4069.00180562056
b_t,1964,3595.79115921056,264.034335121138,3129.40902226859,3942.09288880319
b_t,1965,5101.11302592972,369.509108669681,4413.29796886519,5578.52390575185
b_t,1966,4455.53344719206,251.741282142221,4006.81760986601,4797.28427491607
b_t,1967,3781.20339948624,256.845731862983,3359.55597684687,4147.76508142075
b_t,1968,2904.84644780955,158.768765008225,2622.91777161605,3113.40561081797
b_t,1969,4405.16840361612,309.240588900981,4005.54997635265,5019.18139816189
b_t,1970,5050.12696196027,415.103870226967,4407.4143698195,5703.51389323534
b_t,1971,6405.83859441914,552.621194674449,5518.57443047843,7153.07922930999
b_t,1972,7829.6430297216,624.195210627216,6727.02004077137,8772.29475980748
b_t,1973,8179.36667913229,510.474282534872,7175.54650629855,8819.56729028928
b_t,1974,5748.41596368085,355.687329591562,5270.65490850012,6369.29907158895
b_t,1975,6389.30578617092,448.036932251501,5797.18029065574,7111.82032648976
b_t,1976,4735.26853867773,213.71976824103,4410.33711564063,5052.51858224797
b_t,1977,5294.00960738359,306.671850702501,4880.75136502579,5891.20455879535
b_t,1978,4023.28388288372,268.449188457746,3592.81863861655,4467.83211183628
b_t,1979,4078.32029564542,510.164263936134,3435.69926844415,4916.15189560981
b_t,1980,4253.14455554353,659.682501848492,3272.85071667889,5276.18427161439
b_t,1981,4840.32037909184,712.642695297241,3702.9741975422,5862.40198319381
b_t,1982,4981.40124895628,576.551369341049,4123.51762330498,5867.57130131852
b_t,1983,5353.47164827149,593.463117272108,4424.28442882589,6270.86659122698
b_t,1984,7678.59949604478,664.819359166027,6682.62736311992,8656.41258774645
b_t,1985,6568.12246446841,356.765463113773,5959.80472100286,7026.28200097089
b_t,1986,7116.58016517989,475.281613248536,6187.24497371271,7697.40365753254
b_t,1987,9136.15357328278,544.163243816789,8029.84104149765,9802.96136993478
b_t,1988,7026.11074326741,231.794500267413,6696.97985163301,7430.26682971017
b_t,1989,6574.62474638147,269.408619347274,6107.30732497993,7016.18772861497
b_t,1990,6912.86438360387,258.085108341402,6480.99494167718,7283.92805204512
b_t,1991,7319.97533757355,468.159803206512,6448.99314627315,8002.31272444747
b_t,1992,5842.58869166754,252.295604130051,5422.0942306962,6340.04360391256
b_t,1993,3881.27415172637,183.410734738364,3590.09846416454,4235.37598083906
b_t,1994,3670.30151035535,219.166400512269,3299.41115245938,4044.78163284658
b_t,1995,3371.2581734249,152.160849885098,3098.55922540266,3596.09425695435
b_t,1996,3540.81081437257,148.197419998252,3279.50831455948,3765.44269529463
b_t,1997,2900.01211031226,130.256434687379,2645.10247851361,3091.77252283814
b_t,1998,2392.69755564173,77.5585388487468,2281.61987916,2506.48873074931
b_t,1999,2078.28020169268,84.5851989086511,1966.14173904171,2220.22340662272
b_t,2000,1813.55862614808,95.2292583205106,1700.59687727582,2018.26818317888
b_t,2001,1691.13572512074,65.785755996813,1613.78983039395,1839.81857448957
b_t,2002,1363.95469863037,52.1157820904015,1288.35348503118,1461.68329064319
b_t,2003,1213.19603996351,65.5348464396233,1154.5594088171,1345.47376928197
b_t,2004,920.982944890981,26.8634306985005,885.296208096996,979.0498915421
b_t,2005,688.863533163722,23.8484697055183,663.429865464604,743.748080929944
b_t,2006,650.495711781533,30.0370021525632,618.385548498669,717.198133693375
b_t,2007,670.294409897505,31.6013467111381,628.694223544816,727.6552983851
b_t,2008,643.832638938461,25.4215211639104,604.030013096026,683.697635664079
b_t,2009,561.669989818843,37.7320427061732,523.1309171197,635.264769223394
b_t,2010,623.174775388128,14.2334115106505,599.173533514277,645.037943320445
b_t,2011,442.025635033766,11.9123814587345,426.099433473297,463.881392842799
b_t,2012,556.949993698294,27.2326873948647,517.349400100186,606.132324658422
b_t,2013,649.979942767245,39.4383384415528,594.273922138777,720.492073598099
b_t,2014,476.940851175539,45.9526811551959,413.037461707762,556.680696282207
b_t,2015,325.282737945674,55.5911138598775,240.099105474455,417.617529134741
b_t,2016,317.300449245467,113.087966405301,150.922044465479,515.3348478205
b_t,2017,299.023554873282,201.113824116988,12.1803853806933,665.499464971648
