variable,year,mean,sd,lower,upper
b_t,1951,120255.347865604,94798.5639148122,38559.8825498141,281381.677182173
b_t,1952,67804.6837944269,54190.5136652825,19804.6385072811,158211.684396378
b_t,1953,51670.5690644826,44708.7046482385,14556.3707862942,122009.256743142
b_t,1954,46743.6701952707,40942.8253478687,13274.865276377,113060.327354191
b_t,1955,46280.5345159251,40920.8129592828,12789.0537893084,107169.684979993
b_t,1956,42949.8451650845,35839.5851511805,12375.6339663162,103881.048543366
b_t,1957,37707.4373077591,31833.4001327353,10552.089578421,92411.8574463794
b_t,1958,36764.442307233,31079.1629164331,10144.1614709514,86948.7674667543
b_t,1959,33412.5848015963,29324.5644022117,9619.78164929687,81127.7502467645
b_t,1960,36696.5775969539,31741.0419202143,10270.2123273205,86480.8184466202
b_t,1961,48947.5039304353,41387.2445120753,13688.192546791,116197.930049842
b_t,1962,47060.2268170249,40412.5498630791,13054.5416219183,115783.879663724
b_t,1963,46871.1103180256,39119.3858336642,12821.1886726021,113176.187661996
b_t,1964,44932.5592292541,38620.3081134528,12659.4179519764,104768.217390288
b_t,1965,42041.3570111531,33580.7446215188,12188.994117131,100125.29121037
b_t,1966,38266.8701210057,33687.7782682896,10602.0768531683,92219.6545151564
b_t,1967,33430.7227678857,28305.7623434642,9375.94497944369,83017.8536061062
b_t,1968,30635.2814746584,25887.9690434133,8428.52713911814,75275.2996229607
b_t,1969,35182.6632881967,31190.217843058,9668.39165446494,83913.1163376921
b_t,1970,51277.4916334504,45133.6803606654,14710.1667496206,118142.452515249
b_t,1971,54067.5220232249,45602.8662961445,15613.1721131474,131325.04365527
b_t,1972,52997.74369422,47126.6251410035,14785.1134291932,122317.090405469
b_t,1973,44951.4586343627,37204.6953262138,12686.4067492314,108559.84491902
b_t,1974,46955.8267483838,38471.3215466959,12718.9942693107,111813.418140456
b_t,1975,89052.7112133119,70489.2462443382,24872.7615094101,211773.935142499
b_t,1976,126500.130809621,102347.038388558,35685.0233425899,313066.486878492
b_t,1977,149334.187205497,121825.884719357,43282.5707936735,360999.161826471
b_t,1978,117107.204741923,100210.842548802,33929.0984546767,281672.762352517
b_t,1979,150221.209615887,132539.225164028,42083.3797189626,365940.798306167
b_t,1980,148580.999229971,127952.060203402,42744.8869052298,357457.408877317
b_t,1981,124646.548098443,102811.316600288,34110.2723095921,303887.766749435
b_t,1982,119997.063328645,96036.9552060788,35029.2753281628,280429.752406312
b_t,1983,120782.73846297,100630.899561546,34734.001081166,293845.25993597
b_t,1984,118179.880941925,96389.0634555937,33865.3818520018,287803.068575069
b_t,1985,135053.260743412,114391.119313771,37656.6850438871,324527.506496109
b_t,1986,167519.679466308,143105.120987207,47085.4842152874,420978.52550649
b_t,1987,218105.297129188,184752.461276173,62550.4280488375,525476.602366603
b_t,1988,196495.783162744,168448.502572365,57656.2291877936,485787.588233923
b_t,1989,217406.773636771,183071.566022719,62224.7229470723,529438.189930042
b_t,1990,235488.698422028,190646.791209987,66304.0670826583,548735.220421135
b_t,1991,199638.079966786,165039.814517799,56597.7133726978,482182.26183181
b_t,1992,227645.279710186,188658.437157527,65689.734357011,553588.769508917
b_t,1993,219692.911778866,183014.167377816,64096.7802646265,530097.13006283
b_t,1994,210585.194831449,174402.952237798,63914.9423106493,494137.912484059
b_t,1995,236812.64487201,193043.466538642,69264.9748067239,568728.991072988
b_t,1996,252562.045501739,209262.369851821,74589.6164738559,609770.424780238
b_t,1997,250498.018752519,219418.807494925,70992.174322283,593391.320771699
b_t,1998,236771.85992043,189910.165903053,68560.2400109369,579128.640613849
b_t,1999,241929.830505568,195500.516115686,68678.9095756828,579685.328950569
b_t,2000,216703.854750194,180150.642629299,62085.919396557,529670.70708109
b_t,2001,179926.394499406,154677.797187533,50635.6486849301,443744.990436751
b_t,2002,164687.200917468,134592.205736443,46473.5529172816,400955.979100496
b_t,2003,147477.135334662,121592.884563089,41193.0765390832,359063.010213792
b_t,2004,152821.361520844,130087.107166069,43687.9540740617,380899.320496189
b_t,2005,136827.42643848,117955.419335244,39084.9413354993,335320.421586278
b_t,2006,169631.918192516,137514.838558974,49170.134715016,417184.907857748
b_t,2007,186243.739465868,153818.855690784,53946.0019106296,456502.327112257
b_t,2008,179831.710300981,153576.626763022,50720.7568613795,438490.021239582
b_t,2009,163704.85320277,135370.969662719,46032.654569995,403786.539318392
b_t,2010,161010.399095363,133647.692573305,46054.1806271039,378997.009210491
b_t,2011,179183.691090266,156185.549002726,51281.253467439,439555.960312938
b_t,2012,163230.803473243,136478.374468163,46419.5898759929,395514.920827965
b_t,2013,156426.535247697,130730.809633158,45008.863765363,379276.183087741
b_t,2014,157704.191774022,136465.431319051,44822.2140290977,386540.763093454
b_t,2015,113583.403791944,98423.3210380756,31280.6793559483,279420.728083891
b_t,2016,115048.831345727,112073.39230442,28558.7471513163,282840.947516151
b_t,2017,107856.393227948,109406.775382683,25526.2558056145,270205.489709474
b_t,2018,100853.103073528,95645.8846933696,25491.9139970003,252790.785376484
b_t,2019,84562.2247939297,73002.0111608866,25343.4701827162,201004.703895057
bmsy,1951,82211.8384123331,64184.8383206644,27202.909567715,191617.804613719
ck,1951,0.000883426205904214,0.000513669755460804,0.000260936137378336,0.00183803885122561
ck,1952,0.000883426205904214,0.000513669755460804,0.000260936137378336,0.00183803885122561
ck,1953,0.000883426205904214,0.000513669755460804,0.000260936137378336,0.00183803885122561
ck,1954,0.000883426205904214,0.000513669755460804,0.000260936137378336,0.00183803885122561
ck,1955,0.000883426205904214,0.000513669755460804,0.000260936137378336,0.00183803885122561
ck,1956,0.000883426205904214,0.000513669755460804,0.000260936137378336,0.00183803885122561
ck,1957,0.000883426205904214,0.000513669755460804,0.000260936137378336,0.00183803885122561
ck,1958,0.000883426205904214,0.000513669755460804,0.000260936137378336,0.00183803885122561
ck,1959,0.000883426205904214,0.000513669755460804,0.000260936137378336,0.00183803885122561
ck,1960,0.000883426205904214,0.000513669755460804,0.000260936137378336,0.00183803885122561
ck,1961,0.00176685241180843,0.00102733951092161,0.000521872274756672,0.00367607770245123
ck,1962,0.00176685241180843,0.00102733951092161,0.000521872274756672,0.00367607770245123
ck,1963,0.00176685241180843,0.00102733951092161,0.000521872274756672,0.00367607770245123
ck,1964,0.00176685241180843,0.00102733951092161,0.000521872274756672,0.00367607770245123
ck,1965,0.00176685241180843,0.00102733951092161,0.000521872274756672,0.00367607770245123
ck,1966,0.00176685241180843,0.00102733951092161,0.000521872274756672,0.00367607770245123
ck,1967,0.00176685241180843,0.00102733951092161,0.000521872274756672,0.00367607770245123
ck,1968,0.00176685241180843,0.00102733951092161,0.000521872274756672,0.00367607770245123
ck,1969,0.00176685241180843,0.00102733951092161,0.000521872274756672,0.00367607770245123
ck,1970,0.00265027861771264,0.00154100926638241,0.000782808412135008,0.00551411655367684
ck,1971,0.00265027861771264,0.00154100926638241,0.000782808412135008,0.00551411655367684
ck,1972,0.00265027861771264,0.00154100926638241,0.000782808412135008,0.00551411655367684
ck,1973,0.00176685241180843,0.00102733951092161,0.000521872274756672,0.00367607770245123
ck,1974,0.00148415602591908,0.00086296518917415,0.000438372710795605,0.00308790527005903
ck,1975,0.0057864416486726,0.00336453689826826,0.0017091316998281,0.0120391544755278
ck,1976,0.00575993886249547,0.00334912680560444,0.00170130361570675,0.011984013309991
ck,1977,0.00920530106552191,0.00535243885190158,0.00271895455148226,0.0191523648297709
ck,1978,0.00653735392369118,0.00380115619040995,0.00193092741659969,0.0136014874990695
ck,1979,0.0127743429373749,0.00742766466396322,0.00377313654649074,0.0265780417887224
ck,1980,0.0105127718502601,0.00611267008998356,0.0031051400348022,0.0218726623295848
ck,1981,0.00729710046076881,0.00424291218010624,0.00215533249474506,0.0151822009111236
ck,1982,0.0075886311087172,0.0044124231994083,0.00224144142007991,0.015788753732028
ck,1983,0.00939965483082083,0.00546544619810295,0.0027763605017055,0.0195567333770405
ck,1984,0.00767697372930762,0.00446379017495438,0.00226753503381774,0.0159725576171506
ck,1985,0.0105657774226144,0.00614349027531121,0.0031207962030449,0.0219829446606584
ck,1986,0.0190908403095901,0.011100403415508,0.00563882992874584,0.0397200195749855
ck,1987,0.0201686202807932,0.0117270805171701,0.00595717201634741,0.0419624269734808
ck,1988,0.0223065116990814,0.0129701613253853,0.00658863746880298,0.0464104809934468
ck,1989,0.0227217220158564,0.0132115861104519,0.0067112774533708,0.0472743592535228
