variable,year,mean,sd,lower,upper
b_t,1951,34961.6800145843,27012.3028512539,9478.51115895111,84509.3286249819
b_t,1952,34494.0876872435,25423.1864223364,10616.5574544224,83199.2291750852
b_t,1953,33253.6126073819,36718.1222408177,8251.52124275979,116127.252408505
b_t,1954,33119.4774604917,31593.2316347282,6571.22264414556,99407.577561731
b_t,1955,50171.0039811284,45394.0788208614,13088.925253292,142086.587050303
b_t,1956,40437.9543216792,33934.2531764358,8306.41687442709,107373.865496954
b_t,1957,39800.1280070775,39192.7492930646,5169.3011363098,119005.730635821
b_t,1958,34698.8885588505,37847.2844413359,6604.7115941441,123792.05334026
b_t,1959,33871.9811072199,27984.6320619372,6328.74025300075,85076.0016040635
b_t,1960,47922.7761665144,47090.5491922489,8880.01832687375,125578.296093221
b_t,1961,29851.3620879271,29067.7875791365,10239.0856525298,86311.3929851942
b_t,1962,20893.0177285884,12498.8643974053,7451.34600227117,44893.4626222427
b_t,1963,30029.1312558583,30287.3708136105,6249.47863909439,94718.1950757455
b_t,1964,58635.769162049,54767.8584191222,11121.9199198538,152895.194125848
b_t,1965,41271.6659061743,31933.4292844664,9141.30833770527,97854.4108260988
b_t,1966,36510.7670184938,42228.7347761991,7853.61661949435,123682.914732582
b_t,1967,32234.6078416996,27528.5550767534,7494.70059148073,83406.1667572924
b_t,1968,33702.4675332552,29357.4681947188,7236.0428840402,88223.7409746445
b_t,1969,28165.5421034996,36898.0943162894,3634.975477372,88075.2512972458
b_t,1970,23518.9678248059,20798.5099619715,3186.65505411945,61591.0544954179
b_t,1971,17764.7046968785,14136.7691223535,4246.10768378867,46447.2572750168
b_t,1972,25628.406108479,23403.4676053977,4457.49990379519,69533.5903460144
b_t,1973,27394.3641186532,21496.3194875853,6880.0324306696,69766.4987439969
b_t,1974,34718.9906802132,32721.1990407296,8543.2575649812,101371.491393391
b_t,1975,36023.6578564042,32682.1282701098,6118.58526142356,102130.368043798
b_t,1976,22825.6450182851,24198.9195338147,5864.04634094195,67850.4325049371
b_t,1977,17230.2682091059,17471.4742987758,2824.65638187984,50893.5944950725
b_t,1978,12373.2958323253,10253.8019084034,2660.5491638017,30986.7995198629
b_t,1979,11359.6475058454,12103.9573879965,1336.32699453611,35700.7331571413
b_t,1980,9665.79127414226,10092.6940242484,1455.90897921102,29616.6622073044
b_t,1981,7089.35643919573,6013.52878492162,921.920716019098,16805.969536405
b_t,1982,9012.87604015949,8897.48723819099,1599.99991295403,22929.0405338997
b_t,1983,12207.898196493,11198.3237978893,2979.94207457696,34759.0757850818
b_t,1984,14180.8337242989,12527.9886304119,2578.24068552587,36642.0093924005
b_t,1985,12259.5123935689,9381.27029070839,2977.61890884186,29138.4931825552
b_t,1986,12336.7928581072,11266.8811123127,3141.36918212943,31074.0620105269
b_t,1987,22856.7346235676,20094.0920265031,5216.98871440015,60007.7603913435
b_t,1988,9812.30162495137,13110.3052993957,1480.99576798981,33786.1927781403
b_t,1989,6217.28067067256,5341.27459071426,1344.7399631569,16698.3205557693
b_t,1990,3708.34955958781,3018.22040047267,641.321156868183,8896.19983145257
b_t,1991,2960.47816670951,3060.17405333802,438.213282699816,8137.27647999113
b_t,1992,1671.975336264,1609.33604026496,420.893822074351,4092.92691343495
b_t,1993,1947.99265920398,1670.71933056824,269.658928963639,4884.3086898418
b_t,1994,1524.47530688297,1327.12460357937,189.527601967146,3610.64320163961
b_t,1995,1201.32267428697,959.583774354307,275.632535301977,2828.00684328434
b_t,1996,1804.41602865917,1677.05919800717,360.042836973464,5283.14377189398
b_t,1997,1265.15103382042,937.463874459491,335.837848951678,2900.09704979996
b_t,1998,1371.01118393221,1038.33926252819,497.023542155073,3064.16667137958
b_t,1999,1518.47813869809,1344.18621279463,471.674823994607,3817.35194733365
b_t,2000,1884.89012051053,1330.35207208915,643.433116202982,4441.97801120111
b_t,2001,1695.80074500442,1439.8001971312,614.407242107741,4477.21426742136
b_t,2002,3852.15526463318,3863.94901003746,1130.9016782179,10178.0567626928
b_t,2003,3366.2387141444,3710.9748316391,1334.36408179955,8638.40348205776
b_t,2004,3123.15165576934,2813.76566360025,920.874716341669,8256.93809867493
b_t,2005,2914.31570213831,2441.58437370822,692.969725129245,7324.04797152616
b_t,2006,4075.40017856959,3560.39389839223,820.547036442803,10578.2480120978
b_t,2007,3780.85966122041,3081.63111269891,888.262870892411,9477.83427235771
b_t,2008,2516.76404030217,2579.28289565706,685.244433029046,8201.2116420902
b_t,2009,3511.74974404668,2991.55723820012,955.81207918667,9734.17185626522
b_t,2010,3254.36749348275,2600.00042424813,1065.25008306632,8824.86891301939
b_t,2011,2983.86657039844,2164.7137308327,921.863735553643,7127.30886033736
b_t,2012,2696.92366449106,2459.81464289499,492.921374459853,6693.70364762016
b_t,2013,4003.65009029081,3045.74591385658,1119.99180045248,9612.34342553226
b_t,2014,26916.7794875866,21447.387306259,9670.93112019221,71412.9960853093
b_t,2015,39840.3669590076,41298.9595671677,5064.27458413917,120242.940462276
b_t,2016,42966.8381431706,57852.4186867147,803.258104139861,134936.126736398
b_t,2017,17200.9077741011,24806.8077271523,3.7112824772832e-08,63272.4463836327
b_t,2018,19781.6918099919,35775.2716100498,3.03431212791988e-08,94683.307522816
b_t,2019,43037.9127461015,111157.805857881,1.29647344571755e-08,329516.919731874
bmsy,1951,21413.2770572377,17654.3768543058,5518.98590139336,57494.2268319577
ck,1951,0.0223706389311421,0.0153426338706911,0.00434826269934276,0.0452981770447452
ck,1952,0.0178965111449136,0.0122741070965529,0.00347861015947421,0.0362385416357961
ck,1953,0.0134223833586852,0.00920558032241465,0.00260895761960565,0.0271789062268471
ck,1954,0.0134223833586852,0.00920558032241465,0.00260895761960565,0.0271789062268471
ck,1955,0.0134223833586852,0.00920558032241465,0.00260895761960565,0.0271789062268471
