variable,year,mean,sd,lower,upper
b_t,1951,793606.226564614,761665.48123916,235370.004823654,1872533.54202263
b_t,1952,527323.067809692,499368.880650316,140510.454637184,1280238.33080358
b_t,1953,413772.060148404,390176.285929074,112645.256558059,1049196.25654556
b_t,1954,384924.864680067,366939.935470649,103215.062963791,920037.840696976
b_t,1955,385488.207917875,370975.635252729,100364.585159181,932729.288634517
b_t,1956,360264.470676134,354345.372177255,94742.0593758088,873371.457968584
b_t,1957,314214.083937325,301389.734682753,82409.7305504745,781115.045403861
b_t,1958,300782.444069634,298125.519484265,81126.9581879112,739474.729906058
b_t,1959,269344.588691092,264511.025442881,72851.2118658912,667538.040380652
b_t,1960,277374.372016698,265406.041785924,72952.084977791,661903.708138377
b_t,1961,310370.006874176,289493.098703148,81742.7898497696,737255.67356792
b_t,1962,285518.684475406,276288.737842564,75214.7762422683,668928.819962117
b_t,1963,287812.600165552,272500.03085075,75112.6289010325,695195.873604633
b_t,1964,302409.939614607,295980.5069444,78694.4102100067,734395.554850346
b_t,1965,312051.799306054,304556.271075279,83131.9241681205,760898.269821057
b_t,1966,301029.014596935,306512.223664726,78703.8131171855,739502.551820204
b_t,1967,263587.548940155,265761.330325774,68987.6164715128,622814.646681284
b_t,1968,249900.458893955,247116.376172582,68130.6236552859,590669.510611429
b_t,1969,290721.523300001,278755.918174671,79131.818339503,696444.577606784
b_t,1970,385664.244520278,367117.202284873,102308.598815186,956617.836531221
b_t,1971,394810.20672892,371491.69633057,105589.961061457,994378.491756619
b_t,1972,388571.597113782,369096.734454863,104262.370412275,950295.978187023
b_t,1973,370762.552077645,379293.839749741,98980.4887607842,877211.447656968
b_t,1974,352277.028675673,358079.761330462,95002.7962954784,835035.471760029
b_t,1975,569985.05258038,591070.303831434,153620.191853242,1370278.58386216
b_t,1976,831912.994991503,843699.902324518,216858.881606868,2041607.56104632
b_t,1977,930972.422140556,904135.942916348,241856.548719246,2334745.44022555
b_t,1978,876068.109764193,874070.433434424,232601.343715579,2148665.52528321
b_t,1979,874210.453299464,866365.691667241,235686.569734482,2042506.28478181
b_t,1980,1023432.59217423,1021407.04055541,270829.456663741,2496539.26321167
b_t,1981,1014613.99935605,1018197.54508258,272338.044941366,2515771.90735404
b_t,1982,939013.45589773,937543.73031425,247381.601208304,2301690.90319266
b_t,1983,964881.017585069,969916.97744401,256782.28523524,2267226.88064542
b_t,1984,1059040.77046325,1024128.07102176,286472.18650437,2616974.90729297
b_t,1985,1005047.89733998,947696.844329693,262433.203023244,2404125.24530313
b_t,1986,918808.614405881,912700.151398102,244387.687679883,2244337.67682608
b_t,1987,1124550.724457,1128653.63424042,300393.718001812,2751751.79050235
b_t,1988,1064932.05017817,1060723.76855517,293150.574131737,2597137.57571842
b_t,1989,1456420.01047038,1460246.09797854,391313.86734011,3673627.79444968
b_t,1990,1374578.04834211,1389088.6336406,376768.227340936,3451099.77842489
b_t,1991,1241301.36571176,1202979.35502766,340294.616604827,3100288.33755736
b_t,1992,1461073.99676448,1415775.28094911,395954.731692806,3525914.97643093
b_t,1993,1507855.32044169,1465896.98326218,409335.485355352,3770325.20419288
b_t,1994,1379643.52498722,1347971.99395388,375550.028256422,3277102.40759608
b_t,1995,1369670.62285406,1335502.2919554,372448.35131504,3352953.96693481
b_t,1996,1530693.07739069,1516606.86843196,424136.067458769,3758943.11525067
b_t,1997,1819877.225717,1757347.06020606,494323.198229097,4455781.37732213
b_t,1998,1808486.90723734,1779207.06006167,512193.401069684,4368945.86039207
b_t,1999,1856047.04419054,1866630.86834886,494158.094300878,4554805.05616562
b_t,2000,1540731.32611394,1583615.21745528,419507.111685801,3823109.47028784
b_t,2001,1260685.91714892,1348136.7915434,335843.772708277,3038902.83458601
b_t,2002,1350868.22092668,1326567.61564961,366817.278132512,3268762.11477952
b_t,2003,1172634.59430452,1124616.17014274,308749.229028506,2804587.96275138
b_t,2004,933054.196380562,929299.581264243,245500.277491386,2352850.86946801
b_t,2005,822342.668183558,808235.370244248,227531.764804549,1947038.24224404
b_t,2006,1069572.64848019,1090696.10803137,288639.33938235,2555685.52368753
b_t,2007,1193895.40739463,1139345.33979764,326447.969646951,2821468.57322661
b_t,2008,1287281.48365603,1217188.34245253,337040.374791063,3164893.11372509
b_t,2009,1320836.64994382,1286063.29030248,353007.22956854,3185797.38120136
b_t,2010,1367251.96719435,1439548.47398925,370062.965088868,3274008.94044587
b_t,2011,1296901.95702617,1258967.76017609,349106.775343034,3129301.96979822
b_t,2012,1263283.78037293,1193335.31155197,337604.425274108,3188435.45096275
b_t,2013,1208359.81081624,1171974.23191964,334012.702647064,2901615.65202986
b_t,2014,1320866.65498792,1320017.88620115,337296.046200243,3228854.98240359
b_t,2015,1288689.15081721,1258190.17090844,348037.782427406,3196024.75529099
b_t,2016,1155202.04514253,1155181.19012673,275857.109319498,2835057.25855768
b_t,2017,1091013.11275724,1079383.78395767,253801.592827399,2817025.86860148
b_t,2018,1040976.70645239,1101000.05247855,231110.239794644,2687812.69716162
b_t,2019,1001439.65606474,1057026.21937136,210603.053681126,2542843.76845245
bmsy,1951,559855.359823481,523661.807439772,169690.839476798,1319333.02563875
ck,1951,0.000553854520739525,0.000350677630415699,0.000151591759488596,0.00117861404270442
ck,1952,0.000692318150924406,0.000438347038019624,0.000189489699360745,0.00147326755338052
ck,1953,0.000692318150924406,0.000438347038019624,0.000189489699360745,0.00147326755338052
ck,1954,0.000692318150924406,0.000438347038019624,0.000189489699360745,0.00147326755338052
ck,1955,0.000692318150924406,0.000438347038019624,0.000189489699360745,0.00147326755338052
ck,1956,0.000692318150924406,0.000438347038019624,0.000189489699360745,0.00147326755338052
ck,1957,0.000692318150924406,0.000438347038019624,0.000189489699360745,0.00147326755338052
ck,1958,0.000692318150924406,0.000438347038019624,0.000189489699360745,0.00147326755338052
ck,1959,0.000692318150924406,0.000438347038019624,0.000189489699360745,0.00147326755338052
ck,1960,0.000692318150924406,0.000438347038019624,0.000189489699360745,0.00147326755338052
ck,1961,0.000969245411294168,0.000613685853227473,0.000265285579105042,0.00206257457473273
ck,1962,0.000969245411294168,0.000613685853227473,0.000265285579105042,0.00206257457473273
ck,1963,0.000969245411294168,0.000613685853227473,0.000265285579105042,0.00206257457473273
ck,1964,0.00110770904147905,0.000701355260831398,0.000303183518977191,0.00235722808540883
ck,1965,0.00124617267166393,0.000789024668435323,0.00034108145884934,0.00265188159608494
ck,1966,0.00138463630184881,0.000876694076039248,0.000378979398721489,0.00294653510676104
ck,1967,0.00124617267166393,0.000789024668435323,0.00034108145884934,0.00265188159608494
ck,1968,0.00138463630184881,0.000876694076039248,0.000378979398721489,0.00294653510676104
ck,1969,0.00152309993203369,0.000964363483643172,0.000416877338593638,0.00324118861743714
ck,1970,0.00177233446636648,0.00112216841733024,0.000485093630363506,0.00377156493665413
ck,1971,0.00173079537731101,0.00109586759504906,0.000473724248401861,0.0036831688834513
ck,1972,0.00173079537731101,0.00109586759504906,0.000473724248401861,0.0036831688834513
ck,1973,0.00159233174712613,0.00100819818744513,0.000435826308529712,0.0033885153727752
ck,1974,0.0011118629503846,0.000703985343059516,0.000304320457173356,0.00236606769072911
ck,1975,0.00295342923184352,0.00186998846419172,0.000808363057472936,0.0062849593827213
ck,1976,0.00366097838208826,0.00231797913704777,0.00100202153021962,0.00779063882227619
ck,1977,0.004606684976251,0.00291676119098258,0.00126086445954639,0.00980312230019398
ck,1978,0.00608686118292738,0.00385394715826853,0.00166599343677967,0.0129529683293215
ck,1979,0.00531977267170313,0.00336825864014279,0.00145603884988796,0.0113205878801759
ck,1980,0.00676117906192775,0.00428089717329965,0.00185055640395703,0.0143879309263142
ck,1981,0.00654794507144303,0.0041458862855896,0.00179219357655392,0.013934164519873
ck,1982,0.00526577185593103,0.00333406757117726,0.00144125865333782,0.0112056730110122
ck,1983,0.00682902624071834,0.00432385518302557,0.00186912639449438,0.0145323111465455
ck,1984,0.0079284274643863,0.00501995027940073,0.00217003603707925,0.0168718600213137
ck,1985,0.00819704690694496,0.00519002893015235,0.00224355804043121,0.0174434878320254
ck,1986,0.00823997063230228,0.00521720644650956,0.00225530640179158,0.017534830420335
ck,1987,0.00860136070708482,0.00544602360035581,0.00235422002485789,0.0183038760831996
ck,1988,0.0097326085656953,0.00616228266047987,0.00266384619361335,0.0207111952654233
ck,1989,0.0165367113529804,0.0104703573501367,0.00452615095893074,0.0351904687800471
ck,1990,0.0125268046228262,0.00793145130592707,0.00342862662023331,0.0266573031108671
ck,1991,0.0136483600273237,0.00864157350751887,0.00373559993319772,0.0290439965473436
ck,1992,0.0148253008838952,0.00938676347215222,0.00405773242211098,0.0315485513880905
ck,1993,0.0178078074780776,0.0112751625119408,0.00487405404695707,0.0378953880080537
ck,1994,0.01536807831422,0.00973042754995961,0.00420629234640981,0.0327035931499408
ck,1995,0.0153819246772384,0.00973919449072,0.00421008214039702,0.0327330585010084
ck,1996,0.0186621280763183,0.011816082756857,0.00510788433596823,0.0397134001689253
ck,1997,0.0332146556087493,0.0210301374960295,0.00909095781653108,0.0706814841409838
ck,1998,0.035396842420463,0.0224118073598673,0.00968822934891614,0.0753252234692392
ck,1999,0.0376662613191932,0.0238487089504957,0.0103093765834207,0.0801545945092206
ck,2000,0.033116346431318,0.0209678922166307,0.00906405027922185,0.0704722801484038
ck,2001,0.0212140127806256,0.0134318299389973,0.00580634336781193,0.0451438643706859
ck,2002,0.0246811420804551,0.0156270719053996,0.00675530778221054,0.0525219882780155
ck,2003,0.0278754980288203,0.0176496051388221,0.00762961325506102,0.0593196447693133
ck,2004,0.0163096309994772,0.0103265795216663,0.00446399833754042,0.0347072370225383
ck,2005,0.0168704087017259,0.0106816406224622,0.00461748499402262,0.0359005837407765
ck,2006,0.0195732187629348,0.0123929474588908,0.00535725278032697,0.0416522202691741
ck,2007,0.0237271276684812,0.0150230296870085,0.00649419097649144,0.0504918255894572
ck,2008,0.0259536228418541,0.0164327537612797,0.00710358984963559,0.0552298540411289
ck,2009,0.0272953354183456,0.0172822703209617,0.00747082088699671,0.0580850465595804
ck,2010,0.0272219496943476,0.0172358055349316,0.00745073497886447,0.057928880198922
ck,2011,0.025762543032199,0.0163117699787862,0.00705129069261203,0.0548232321963959
ck,2012,0.0285885857242724,0.0181011025879823,0.00782478764540258,0.0608371103492952
ck,2013,0.0264964002721789,0.016776417839087,0.00725214977393441,0.0563848958029793
ck,2014,0.0278478053027833,0.0176320712573013,0.00762203366708659,0.059260714067178
ck,2015,0.0326511086338968,0.0206733230070815,0.00893671320125143,0.0694822443525321
ck,2016,0.025945315024043,0.0164274935968234,0.00710131597324326,0.0552121748304884
ck,2017,0.0268716367099799,0.0170140019336937,0.00735485319098794,0.0571834068169115
ck,2018,0.0277841120328983,0.0175917433298035,0.0076046006147454,0.059125173452267
ck,2019,0.0283642746433729,0.017959078147664,0.0077633929828097,0.0603597716619999
crashed,1951,0,0,0,0
delta,1951,100,0,100,100
dep_t,1951,0.707804604037863,0.0730906136658821,0.596040835137016,0.827693508211563
dep_t,1952,0.467638882734567,0.0880850801806061,0.337616871263781,0.61421304120194
dep_t,1953,0.369358141398025,0.0733663435693332,0.26476030703829,0.498572175636984
dep_t,1954,0.342750109972102,0.0696189599357383,0.240613555333057,0.460408522997342
dep_t,1955,0.341125803658086,0.073132264867402,0.237238776254726,0.46947238270333
dep_t,1956,0.31862785625351,0.0671478910994485,0.225320015563506,0.430961087608014
dep_t,1957,0.278499722461023,0.0583704704922697,0.193949276589422,0.376383833919353
