variable,year,mean,sd,lower,upper
b_t,1951,38560.8632354783,17600.3795211422,19614.9135941237,69330.4089440777
b_t,1952,14.0364204548708,19.9205290573438,1.30059433203095,57.8892908957238
b_t,1953,0.383857227154048,2.07970720379478,0.0236922651284665,1.14605864392167
b_t,1954,0.0780267204861236,0.233070631617581,0.0144665014272669,0.240357671298024
b_t,1955,0.0400474050700968,0.0587040026774909,0.0141351511594683,0.0968514147174137
b_t,1956,0.0326839376340372,0.0293044285410992,0.0139902377936745,0.0653304046815869
b_t,1957,0.0387352744137976,0.0526927314401624,0.0139743951105957,0.0987956082678292
b_t,1958,0.0314567578073191,0.0277604473898217,0.0137734828512153,0.0657039624755312
b_t,1959,0.0300245584024158,0.0239292144458027,0.0141764515479139,0.0588173346443535
b_t,1960,0.0334598473332716,0.0448530170663076,0.01383927195925,0.067058477207888
b_t,1961,0.0402103411102469,0.0688609876280483,0.0137209160500294,0.0823968976476417
b_t,1962,0.085667340605328,0.173845871855954,0.0144981612742816,0.293278437892805
b_t,1963,1.43453066226492,3.00888422536845,0.112505757762934,4.42726265885935
b_t,1964,795.290936492645,1012.7055401465,165.964808783923,2129.78195532634
b_t,1965,5758.86343429628,7379.15068457899,690.041884468251,17762.8384185276
b_t,1966,15694.2822640015,18325.4246095149,1538.43751399446,54465.1516339758
b_t,1967,21889.3858133973,25235.8818123027,1948.5141966707,68690.7936197869
b_t,1968,21609.3898186025,24890.7949549512,1779.56668948838,69518.2111360216
b_t,1969,22588.0534953611,24206.0904560614,2118.47521097766,65576.899906277
b_t,1970,22760.6241225621,23891.315731189,2472.120669749,65800.8990941079
b_t,1971,20248.0345248387,24259.4655869127,1983.20791316184,61798.1889717114
b_t,1972,17952.0595390455,20192.2623950276,1572.00977377191,53821.897763686
b_t,1973,16818.6086826041,19328.6260839477,1680.55426720814,52133.1353120739
b_t,1974,18452.6683135096,20935.776748454,2218.3078836732,57304.7145084202
b_t,1975,24082.5908038619,27623.2671477539,2075.01483044868,71544.7918158455
b_t,1976,21408.8622032518,22666.201531521,2228.64071758513,61064.1417907099
b_t,1977,24660.6818451079,27392.6009054453,2734.04212570548,74241.6679101416
b_t,1978,23399.1106191721,24436.809813228,2931.98377459515,71550.7798742012
b_t,1979,21585.2136578466,21707.7782438805,2725.82061009976,59648.1709166582
b_t,1980,26984.9119596971,25743.4031316751,3605.54698866292,71728.5242436961
b_t,1981,30562.0020531974,28141.4716878462,3882.75882759079,90647.6595884813
b_t,1982,30265.7256053947,27615.9989112267,5243.33636002567,87942.0222816771
