variable,year,mean,sd,lower,upper
b_t,1951,68267.5200473468,8535.70712806458,55096.5587054298,82013.2709145398
b_t,1952,55238.9344678844,6873.54229729747,44568.439194265,67156.1085154909
b_t,1953,78841.0315994594,11860.3007978641,63892.3890500848,98832.7289881698
b_t,1954,75039.6310951,10208.9418328486,63668.7885527326,96125.0273098433
b_t,1955,137597.568285702,21655.0530556274,104056.955242353,169142.016443058
b_t,1956,112990.027623939,16645.6552267128,90602.3332643538,146021.093664107
b_t,1957,98290.4538466232,13018.5200301768,77725.1786525279,118210.762239021
b_t,1958,160767.101798525,19800.7627314814,130469.255832,193956.768943738
b_t,1959,41971.0811878458,8650.19120105247,29864.7031398901,55431.9386236995
b_t,1960,34146.0137704409,7125.73858793562,24538.7279709931,44756.9279648167
b_t,1961,25651.2000215315,5393.27808225057,18383.2675800838,34123.7522420673
b_t,1962,34103.4332941163,6818.27728194314,24856.5566322443,45136.0279904111
b_t,1963,66655.9149259145,11848.157668789,49972.1316655951,85275.4691804974
b_t,1964,61577.3112277397,9357.44313751555,47783.2534655041,76261.4133968671
b_t,1965,82998.6617536637,11633.5253494461,65511.9182920655,100996.433199939
b_t,1966,65625.0505169953,8213.67721735834,53016.5111537596,79314.7695029381
b_t,1967,69439.7229544372,8906.34907449582,55928.8556445248,83497.370979795
b_t,1968,37389.6400535082,4367.70380985925,30928.36354361,44643.9626852228
b_t,1969,26551.682814788,3247.82292633592,21696.002734009,31752.7568891101
b_t,1970,9454.71252487826,1015.90857763623,7861.22699953392,11121.7758358111
b_t,1971,14610.9889766657,1600.02804547069,12100.6786045588,17267.2896621019
b_t,1972,12711.3378524283,1431.67279326858,10452.6671285978,14995.1442660554
b_t,1973,10305.4744383039,1228.89020888079,8589.40048130714,12413.1217154465
b_t,1974,13683.0753229332,1661.84897977157,11319.3966949882,16551.0875730267
b_t,1975,12031.5596627082,1520.88124960065,9898.74317046811,14616.7586509555
b_t,1976,41338.4362190533,5178.88829610903,34072.7587265728,50144.2521434594
b_t,1977,68000.4189275097,8753.73682897998,56000.796260304,84852.3258814277
b_t,1978,59204.9382694867,7120.89603092293,48761.6918610328,72056.6810060517
b_t,1979,93563.1307428689,12029.4261553501,76320.3025963098,114980.084834764
b_t,1980,34606.6756630782,4222.9141458631,28020.7509007478,41606.8441379377
b_t,1981,54424.88333418,6994.78439850534,43399.6083012326,66382.5705782119
b_t,1982,55387.7870123559,7020.7492858445,44489.3105137451,67335.9188329956
b_t,1983,25633.2684636757,3273.51995221527,20566.1279110643,30851.3400557538
b_t,1984,79559.9085996916,11191.7784391941,61570.3865627245,96880.8442270834
b_t,1985,164312.218573676,20843.8776204295,131548.340230097,197482.501617673
b_t,1986,33416.5059493479,4215.22609943612,26476.8602079533,40003.8616800021
b_t,1987,114563.385482466,13622.7069286813,93687.5490787294,135192.684468083
b_t,1988,23823.1966537913,4193.3927211991,17726.0303463171,32099.3120328291
b_t,1989,57164.3919317114,9578.4678843719,42382.5909464852,74845.6402255818
b_t,1990,108573.912825136,16144.8209844932,84406.9827803375,137578.053951704
b_t,1991,25438.6183988006,3536.26864045276,20021.4315786494,31057.998446277
b_t,1992,131275.440729396,22060.9594289372,96216.1823468643,169398.463955643
b_t,1993,51798.4531876342,9157.63530479127,38603.7648170901,66153.8239662714
b_t,1994,94511.7114019307,18682.7339517552,70568.8470002939,125342.329165822
b_t,1995,107608.818022293,12500.6181509572,87646.7547052438,126980.353208892
b_t,1996,116584.492034828,13905.764784781,95249.56525943,141168.723242395
b_t,1997,196794.18459514,24100.0055804647,158595.121980151,234837.215851915
b_t,1998,96.3560559565935,7.6588754512857,85.94657001656,109.252681783175
b_t,1999,67.3220012422374,5.62908141860516,59.6298263742691,76.6325439259501
b_t,2000,20.3440960755179,1.75941340682425,17.8397237285614,23.0661038679497
b_t,2001,34.6606713312228,3.01100645656092,30.4735093225388,39.5064127486397
b_t,2002,51.3254816079122,4.48515468104205,45.9262004749594,60.0903393621695
b_t,2003,30.6479756235108,2.80940849399944,27.2649325872363,36.4915315530552
b_t,2004,262.38825977716,5.89267839551238,254.114615911371,272.512090694859
b_t,2005,58.6176804593616,1.08139220302574,57.0407771616517,60.4670786954606
b_t,2006,17.2708491435285,0.86105209330591,16.1385195780459,18.8611156354415
b_t,2007,1.50301171810017,0.559866606545739,0.767085407239489,2.54077670081459
b_t,2008,0.908525462729663,0.340802504315644,0.459668587887208,1.54100990202129
b_t,2009,0.511562394853484,0.189695728225741,0.265158554132467,0.855400004461419
b_t,2010,1.74978092676212,0.654913403082484,0.900977422731827,2.95148265516125
b_t,2011,1.14452692927903,0.431430312733235,0.582710353894743,1.93639662564733
b_t,2012,2.77313227728027,1.0286763718098,1.43359313939568,4.65189300945126
b_t,2013,10.9518170537045,3.94132064676273,5.77029712035637,18.0524061958866
b_t,2014,12.5143798150623,4.5794838869045,6.47396070401522,20.9929839230102
b_t,2015,4.23672298725114,1.58836757363412,2.14062654623211,7.14705592236507
b_t,2016,933.435249308367,310.557173389906,528.637489770615,1430.11385211457
b_t,2017,571.439759062879,217.967360399779,302.944450057888,919.060290877995
b_t,2018,32450.2501473677,12498.1193066436,18014.5696369816,51883.3508118238
b_t,2019,24299.1435234872,6614.82636717466,14993.0112078144,35777.5641544804
bmsy,1951,35081.5030888789,4382.42912939392,28308.3369796056,42119.8108636906
ck,1951,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1952,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1953,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1954,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1955,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1956,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1957,0.00289683463488979,0.000375230666103361,0.00237417970347282,0.0035325282480897
ck,1958,0.00289683463488979,0.000375230666103361,0.00237417970347282,0.0035325282480897
ck,1959,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1960,0.00289683463488979,0.000375230666103361,0.00237417970347282,0.0035325282480897
ck,1961,0.00289683463488979,0.000375230666103361,0.00237417970347282,0.0035325282480897
ck,1962,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1963,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1964,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1965,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1966,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1967,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1968,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1969,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1970,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1971,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1972,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1973,1.4484173174449e-09,1.87615333051681e-10,1.18708985173641e-09,1.76626412404485e-09
ck,1974,0.00056488275380351,7.31699798901555e-05,0.0004629650421772,0.000688843008377492
ck,1975,0.00084008204411804,0.000108816893169975,0.000688512114007118,0.00102443319194601
ck,1976,0.00101389212221143,0.000131330733136176,0.000830962896215488,0.0012363848868314
ck,1977,0.000535914407454612,6.94176732291219e-05,0.000439223245142472,0.000653517725896595
ck,1978,0.00042004102205902,5.44084465849874e-05,0.000344256057003559,0.000512216595973007
ck,1979,0.00115873385395592,0.000150092266441345,0.000949671881389129,0.00141301129923588
ck,1980,0.00134702810522375,0.000174482259738063,0.00110399356211486,0.00164262563536171
ck,1981,0.00149186983696824,0.000193243793043231,0.0012227025472885,0.0018192520477662
ck,1982,0.00140496479792155,0.00018198687306013,0.00115147715618432,0.00171327620032351
ck,1983,0.00107182881490922,0.000138835346458244,0.000878446490284944,0.00130703545179319
ck,1984,0.000709724485547999,9.19315131953235e-05,0.000581674027350842,0.000865469420781978
ck,1985,0.000753177005071346,9.75599731868739e-05,0.000617286722902934,0.000918457344503323
ck,1986,0.00105734464173477,0.000136959193127727,0.00086657559176758,0.00128937281055274
ck,1987,0.00134702810522375,0.000174482259738063,0.00110399356211486,0.00164262563536171
ck,1988,0.001419448971096,0.000183863026390647,0.00116334805470168,0.00173093884156396
ck,1989,0.00118770220030482,0.000153844573102378,0.000973413678423857,0.00144833658171678
ck,1990,0.00150635401014269,0.000195119946373748,0.00123457344580587,0.00183691468900665
ck,1991,0.0014484173174449,0.000187615333051681,0.00118708985173641,0.00176626412404485
ck,1992,0.00069524031237355,9.00553598648067e-05,0.000569803128833477,0.000847806779541529
ck,1993,0.000651787792850203,8.44268998732563e-05,0.000534190433281385,0.000794818855820183
ck,1994,0.000709724485547999,9.19315131953235e-05,0.000581674027350842,0.000865469420781978
ck,1995,0.000782145351420244,0.000101312279847908,0.000641028519937662,0.00095378262698422
ck,1996,0.000811113697769142,0.000105064586508941,0.00066477031697239,0.000989107909465117
ck,1997,1.4484173174449e-09,1.87615333051681e-10,1.18708985173641e-09,1.76626412404485e-09
ck,1998,1.4484173174449e-09,1.87615333051681e-10,1.18708985173641e-09,1.76626412404485e-09
ck,1999,1.4484173174449e-09,1.87615333051681e-10,1.18708985173641e-09,1.76626412404485e-09
ck,2000,1.4484173174449e-09,1.87615333051681e-10,1.18708985173641e-09,1.76626412404485e-09
