variable,year,mean,sd,lower,upper
b_t,1951,3060553.44173179,2964113.25247926,681259.3525071,8874987.0583707
b_t,1952,474837.754470375,530224.50794241,78220.2539485905,1377121.28658447
b_t,1953,230497.14223678,277354.128243913,37966.6705115846,698117.281272449
b_t,1954,168532.009865738,184987.656492238,26945.461589853,488107.89962549
b_t,1955,150305.737053695,168519.98638752,22683.3604927927,441251.631353101
b_t,1956,135528.981872931,157397.564520749,20922.0681138663,404460.951702904
b_t,1957,123059.08337347,151673.615828936,18958.3559029299,364124.980317013
b_t,1958,114383.512228602,137031.582848921,18387.1596790097,343531.240189714
b_t,1959,101440.871724957,108634.472783328,16419.1117931974,300747.805470965
b_t,1960,105269.456275371,115812.791767863,17103.363427739,313609.766027348
b_t,1961,124971.419653625,146466.387999455,19014.529615463,380198.625649897
b_t,1962,110048.378644959,115724.966525022,18211.3289142807,320132.342025346
b_t,1963,107836.855396934,140102.51869675,18949.9351228821,323722.090055191
b_t,1964,109474.178224016,133293.924195154,17824.6934809006,325288.630211171
b_t,1965,99706.9997880546,113754.373164292,17752.0141795787,283708.272974533
b_t,1966,98773.1787058311,101059.848092409,16859.7957511743,294069.853913376
b_t,1967,88007.0564225698,96780.321593043,14729.4610249388,262545.004388467
b_t,1968,94136.3651532412,116955.341856345,14461.9148884604,281500.24084321
b_t,1969,107227.415983494,130122.807143848,17168.1863220789,317812.294385126
b_t,1970,135199.093370822,151996.482481246,22185.4907598592,403438.887964576
b_t,1971,145327.201967607,160184.356775039,25309.6398804154,416212.796471581
b_t,1972,156340.336254134,173165.431945798,25761.6548977427,449269.561643598
b_t,1973,167520.74847866,185061.374853876,26548.288393925,505004.272275186
b_t,1974,253549.077709478,284885.015861803,43539.1243958417,735338.678492698
b_t,1975,1208656.50987484,1455058.7779019,198822.72649531,3533969.09232877
b_t,1976,3415664.54736734,3971731.24319348,588412.733839298,9868246.57052356
b_t,1977,4637871.17978385,5167261.83927017,693863.245417319,13578781.9094956
b_t,1978,3580811.43879339,4226929.53953789,591511.733673161,10940121.0707171
b_t,1979,3285324.15057563,3435199.57522589,577108.648571891,9045939.23746976
b_t,1980,3621780.45042404,4243916.60144972,586227.829367259,10327763.8531089
b_t,1981,3411757.52822809,4071598.09494482,536641.553059154,10052915.018552
b_t,1982,4249531.79870406,4792008.08119468,708161.336815836,12685529.4418339
b_t,1983,5363707.68954282,5941941.93586854,1035780.2438646,15442117.5386575
b_t,1984,5130385.33555836,5407955.18048739,860990.480816747,14585064.7654857
b_t,1985,3217885.52744545,3805249.02908498,527710.456146211,9828579.95640314
b_t,1986,2238658.11057288,2596893.18791779,352059.488642582,6641431.61086832
b_t,1987,3413649.26152572,4201656.41085142,539089.658562163,10354171.8432764
b_t,1988,3881181.70173516,4538298.83287122,550796.017437482,11190681.1147394
b_t,1989,4207044.65738008,4811085.69624464,766542.771149948,11632987.8247244
b_t,1990,4808032.93399251,5159238.70777491,844260.092321321,13623302.6436438
b_t,1991,4935222.661169,5814100.30631388,846081.378182677,14403206.178431
b_t,1992,5304010.88969254,6085609.6870994,863810.923116216,14767886.7561286
b_t,1993,5501304.09439673,5604296.38534438,1040791.48501689,17161712.2989985
b_t,1994,5078620.93970757,5706082.35368084,850500.397178649,14516250.9569861
b_t,1995,4214477.3567513,4963227.79209915,690892.216257772,12728152.9880512
b_t,1996,3601940.99474971,3753914.05322216,630311.288257548,10578166.5947974
b_t,1997,4804844.34075964,5025141.37072642,866176.50829792,13626472.4060791
b_t,1998,5009007.09798521,5267698.74926605,815412.593129708,15047045.8422258
b_t,1999,3069236.50802517,3397627.35709201,519747.428174221,8948592.14658235
b_t,2000,2731980.27504279,2952693.3294962,414582.838268415,7933653.15767951
b_t,2001,3084170.21425147,3627552.8919351,525581.515887777,8928721.0028207
b_t,2002,4318240.9857899,4933344.9367785,734028.386938017,12640860.6893133
b_t,2003,4053100.76441742,4622604.60860969,638278.432186384,11710418.7000405
b_t,2004,3705068.15394198,4463539.41286157,600878.487690449,10798656.4564129
b_t,2005,3234091.94631037,3489649.48405036,525896.420377261,9791911.30066817
b_t,2006,5117108.73516017,5642840.04039147,904931.684856685,15198742.3709866
b_t,2007,5009473.300282,5515562.86936629,891955.32488803,14504091.6074958
b_t,2008,4820885.2286574,5429247.89101363,832982.88008374,13891756.7754432
b_t,2009,4897793.27436906,5347397.08013979,889132.949547672,14134136.2677221
b_t,2010,3998894.95109441,4550940.65232474,655300.248846255,11634110.8816336
b_t,2011,2343869.83863334,2541464.20443459,370411.532758693,6997798.27567464
b_t,2012,1785011.54006873,2182116.99741488,264869.197615899,5220575.91881775
b_t,2013,1771726.93898264,2070231.36567898,308821.661297273,5346351.01367086
b_t,2014,2233856.64920044,2537472.17472682,361449.87891213,6720405.52040266
b_t,2015,2083272.17535152,2322314.32207044,328947.113419238,6042327.59839631
b_t,2016,2374789.99462485,3008270.29846612,282442.678732678,7624425.68409084
b_t,2017,2538416.78145796,3773668.49143144,289105.158891411,8177632.29344159
b_t,2018,2410070.55382035,3231945.42801373,310500.84119508,7355914.85296656
b_t,2019,1902538.648239,1930494.62129618,384846.239927706,5460120.83153934
bmsy,1951,2036646.51702869,1920072.97062053,453323.919254457,5650856.18696517
ck,1951,8.93370611928781e-05,6.6594544651957e-05,1.76964534649521e-05,0.000220592823070957
ck,1952,8.93370611928781e-05,6.6594544651957e-05,1.76964534649521e-05,0.000220592823070957
ck,1953,8.93370611928781e-05,6.6594544651957e-05,1.76964534649521e-05,0.000220592823070957
ck,1954,8.93370611928781e-05,6.6594544651957e-05,1.76964534649521e-05,0.000220592823070957
ck,1955,8.93370611928781e-05,6.6594544651957e-05,1.76964534649521e-05,0.000220592823070957
ck,1956,8.93370611928781e-05,6.6594544651957e-05,1.76964534649521e-05,0.000220592823070957
ck,1957,8.93370611928781e-05,6.6594544651957e-05,1.76964534649521e-05,0.000220592823070957
ck,1958,8.93370611928781e-05,6.6594544651957e-05,1.76964534649521e-05,0.000220592823070957
ck,1959,8.93370611928781e-05,6.6594544651957e-05,1.76964534649521e-05,0.000220592823070957
ck,1960,8.93370611928781e-05,6.6594544651957e-05,1.76964534649521e-05,0.000220592823070957
ck,1961,0.000134005591789317,9.98918169779355e-05,2.65446801974281e-05,0.000330889234606435
ck,1962,0.000134005591789317,9.98918169779355e-05,2.65446801974281e-05,0.000330889234606435
ck,1963,0.000134005591789317,9.98918169779355e-05,2.65446801974281e-05,0.000330889234606435
ck,1964,0.000134005591789317,9.98918169779355e-05,2.65446801974281e-05,0.000330889234606435
ck,1965,0.000134005591789317,9.98918169779355e-05,2.65446801974281e-05,0.000330889234606435
ck,1966,0.000178674122385756,0.000133189089303914,3.53929069299042e-05,0.000441185646141914
ck,1967,0.000134005591789317,9.98918169779355e-05,2.65446801974281e-05,0.000330889234606435
ck,1968,0.000178674122385756,0.000133189089303914,3.53929069299042e-05,0.000441185646141914
ck,1969,0.000178674122385756,0.000133189089303914,3.53929069299042e-05,0.000441185646141914
