variable,year,mean,sd,lower,upper
b_t,1951,16081.925720318,10151.2938490232,8573.41309138942,32956.2566030815
b_t,1952,13114.8583050558,17240.8449594714,1998.89096040085,27910.70426126
b_t,1953,15708.698100766,14195.8500680508,3135.30329636412,41858.735977369
b_t,1954,11915.4066635859,13301.9653311935,1440.1845371127,34015.8329446303
b_t,1955,12686.2171401664,12181.5752367463,556.137499850831,28494.3942397024
b_t,1956,19041.9551734165,14865.6742198212,3905.81996645607,38647.0871140844
b_t,1957,15561.5246038927,15703.619863231,2627.89383558338,44484.9070002772
b_t,1958,15972.4109158839,11009.8705716264,2946.4287428405,35092.663867756
b_t,1959,13028.8625797011,12885.2509694163,4370.78320267595,33388.37482887
b_t,1960,9818.84404524959,11804.5593079519,2601.00830199236,30728.2031005256
b_t,1961,13339.5459871503,12284.1283054501,3733.62154335331,35198.0145851444
b_t,1962,12124.2384149018,9294.41740081281,4161.46210178568,27947.4497605294
b_t,1963,11364.6577369133,10415.0227914164,2094.06052356269,29788.4085682602
b_t,1964,10306.0835727114,14590.4094847496,903.91368066558,38689.6310531287
b_t,1965,4158.90147799708,8187.36860736683,283.375685121438,16825.5055380009
b_t,1966,4096.43445051512,7213.64468059298,240.142277327394,13951.0842219362
b_t,1967,2985.67077287126,3972.52528952974,311.697688004813,10056.9662373375
b_t,1968,601.742230982447,1081.51002090563,111.228174989309,1980.91901377421
b_t,1969,37.3397826271795,94.2911719616762,2.41555003352978,113.304215725957
b_t,1970,1060.62627021762,1349.39691527071,276.24165455818,2937.81657368647
b_t,1971,3218.01303567676,3369.45789166514,564.383212300847,8782.6717882973
b_t,1972,6229.64958095653,6866.06095882079,1241.04819057337,17232.7536583599
b_t,1973,5904.01522609239,9834.19119098746,593.698018812372,21545.0323690333
b_t,1974,10667.834209147,9853.49167905689,933.013294873242,29237.2605154399
b_t,1975,5336.17428942731,5658.9770473209,1073.81200300705,15783.0403988506
b_t,1976,5024.06039923153,7906.18024257445,346.903414332128,15903.5040946326
b_t,1977,4211.22298858947,5458.6593745325,579.379127064941,13919.6459872652
b_t,1978,3154.28869934766,4970.15506482469,484.81679805879,11291.7752880968
b_t,1979,2810.08175268934,4407.78780574236,530.210938245083,8523.6802241898
b_t,1980,3040.57732862911,3338.05936072224,745.01444515239,7953.81888920277
b_t,1981,5472.16306492482,10985.9570339084,831.553870732056,16103.9481660194
b_t,1982,5361.25820631874,8484.62324372319,399.084241162774,17893.6168907925
b_t,1983,3904.26297513047,5331.29549995628,576.60311617851,12958.5529795939
b_t,1984,6101.44779019873,4750.41364360791,1182.09269406605,14061.3813292365
b_t,1985,2835.93107955558,2757.48673672728,737.091200038381,7692.66114799101
b_t,1986,4233.67883249114,3549.96345569805,626.899135419759,9857.7262518318
b_t,1987,9188.24342836631,9548.09759453019,420.659817534678,23768.9581240599
b_t,1988,5622.13940398179,7200.65371445127,670.614922620461,17434.1183251234
b_t,1989,6473.35207707592,8435.77393093851,957.185025053688,21046.5436136481
b_t,1990,7185.14089022476,6126.38755001377,1432.14533745559,16450.5410256899
b_t,1991,2514.49594365744,3088.16410441142,423.9134486006,6499.35076511286
b_t,1992,1134.90511331105,1039.57937922966,286.551233344182,2652.56137417027
b_t,1993,1050.13291528533,1297.83957033725,200.055007318651,2281.03360694791
b_t,1994,2122.80641208548,2579.11201328826,354.555100251551,6328.76389178803
b_t,1995,2773.24121664525,3671.24033087177,591.313961351649,9569.44419936059
b_t,1996,1265.1170197299,1026.63826025072,333.778239071407,2864.16877364755
b_t,1997,495.364203732297,1174.64702479522,78.6505722655982,1803.50570099432
b_t,1998,220.078866510683,265.911626397519,46.54528688192,715.936768987137
b_t,1999,70.1960864936711,101.015237893036,6.7453493216668,170.903909809525
b_t,2000,78.6105981583191,78.0382439764263,16.3244263812789,173.363527421292
b_t,2001,41.5874941156039,94.6895900195841,5.96250900523933,169.871098229322
b_t,2002,24.4464065411684,37.0128248523357,5.45378353265917,64.4173020652364
b_t,2003,14.7155213722336,11.812617589251,4.56877386951433,31.9345248900409
b_t,2004,3.97855755541016,2.2396728184243,1.23900330476895,5.880403030904
b_t,2005,0.00654363437913534,0.045330079635144,5.02398244221116e-05,0.0106984121999059
b_t,2006,0.0121880328886948,0.0219028023228066,0.00516644191094434,0.0223954438438408
b_t,2007,0.0508664295559108,0.0806222748417311,0.00588520788915371,0.178375106273344
b_t,2008,4.22095442778002,2.01232366133872,2.47523815014531,7.58013539602947
b_t,2009,0.648970422068518,0.378063503737381,0.19318292945517,1.07776522409514
b_t,2010,0.0053642871315577,0.0170187463582178,0.000270344482259472,0.0160561122964837
b_t,2011,0.0101736089707576,0.00717426377800602,0.00517930718852825,0.0206245333379894
b_t,2012,0.0112769481408029,0.00709990758721988,0.00529673692340183,0.0228362600657522
b_t,2013,0.0114619866494236,0.00657514282239279,0.00537968701318162,0.0225878676380892
b_t,2014,0.0190883383965336,0.0141728653456005,0.0057287328560765,0.0440508171482817
b_t,2015,0.0212277196159463,0.0214315201758516,0.00648845486088168,0.0478451064296826
b_t,2016,3.37023539991813,4.17509251947521,0.072363561599698,9.02137256290695
b_t,2017,99.2507575037337,166.200005380891,2.38902785055533,351.675521709692
b_t,2018,1053.7149952287,2470.06392693067,109.174915294404,4509.60604438176
b_t,2019,7864.83231316093,5787.44380225051,3662.46445164763,17236.532826223
bmsy,1951,9699.85281055311,5901.77077166018,5153.46288809629,19324.3746366102
ck,1951,0.012410369735788,0.00435946996398053,0.00517482271833264,0.0194044284260694
ck,1952,0.012410369735788,0.00435946996398053,0.00517482271833264,0.0194044284260694
ck,1953,0.012410369735788,0.00435946996398053,0.00517482271833264,0.0194044284260694
ck,1954,0.012410369735788,0.00435946996398053,0.00517482271833264,0.0194044284260694
ck,1955,0.00620518486789401,0.00217973498199027,0.00258741135916632,0.00970221421303469
ck,1956,0.012410369735788,0.00435946996398053,0.00517482271833264,0.0194044284260694
ck,1957,0.018615554603682,0.0065392049459708,0.00776223407749896,0.0291066426391041
ck,1958,0.018615554603682,0.0065392049459708,0.00776223407749896,0.0291066426391041
ck,1959,0.018615554603682,0.0065392049459708,0.00776223407749896,0.0291066426391041
ck,1960,0.012410369735788,0.00435946996398053,0.00517482271833264,0.0194044284260694
ck,1961,0.012410369735788,0.00435946996398053,0.00517482271833264,0.0194044284260694
ck,1962,0.024820739471576,0.00871893992796106,0.0103496454366653,0.0388088568521388
ck,1963,0.024820739471576,0.00871893992796106,0.0103496454366653,0.0388088568521388
ck,1964,0.018615554603682,0.0065392049459708,0.00776223407749896,0.0291066426391041
