variable,year,mean,sd,lower,upper
b_t,1951,327961.061714201,147815.532245447,162923.905277913,618271.503256659
b_t,1952,3872.53312886934,10734.7117407648,170.80326447067,11631.0701693086
b_t,1953,27162.8430400477,69736.4219813521,1295.02913622948,71714.0650733429
b_t,1954,102658.061133533,149638.410422525,6609.9350219437,410386.21514008
b_t,1955,86922.2810436159,121350.820969245,6818.59309504758,313306.398456861
b_t,1956,151412.234536455,174147.518783462,17181.7681537328,461754.913068675
b_t,1957,87812.8826529833,126528.817219529,7267.22352936093,291867.653435176
b_t,1958,102119.129773621,118034.545611758,9739.94885352228,332769.764522275
b_t,1959,147466.792189137,302132.090149724,12343.968840132,432813.358027604
b_t,1960,115735.647090224,152735.726154257,12486.2033410449,407034.061987601
b_t,1961,104446.231335331,119969.461883565,11305.7595488646,318595.357484551
b_t,1962,112813.621618216,167612.422291614,9981.66272358755,348645.501237584
b_t,1963,116748.3977844,192256.358392513,10268.2552329315,430703.999583883
b_t,1964,101775.932701528,131990.604480507,4715.63244745371,312944.772785253
b_t,1965,107107.508683954,144025.462532559,6339.84051488895,382061.359495106
b_t,1966,99691.7175996052,128533.650348503,5764.13187057596,333732.639884383
b_t,1967,116780.618867997,147846.404659197,12261.9163813541,393352.948552111
b_t,1968,109454.676772742,138750.167197386,13076.0873876395,365092.421207826
b_t,1969,112790.794864863,136794.50529409,12547.3215821444,349047.884573209
b_t,1970,150757.927161345,165675.056983082,13497.9249101443,437760.985272399
b_t,1971,143291.875372507,180208.063925904,12657.4428904173,512483.722144036
b_t,1972,134028.509712266,145385.884547701,13809.4739586459,425539.487568181
b_t,1973,130912.214651677,161643.950631236,17213.2323626429,409211.605740506
b_t,1974,133939.830615878,161290.121904138,14754.1255858927,442973.095013623
b_t,1975,147713.298333288,168095.960801619,16275.7841777118,459871.340975113
b_t,1976,179235.108503504,180244.728269545,20174.7665188248,507524.163980372
b_t,1977,212449.848642098,214080.13201083,23536.3266418423,657635.608502466
b_t,1978,175785.998623876,174519.839160596,22939.4808379567,490739.1330186
b_t,1979,199751.13937674,201285.831415574,21355.1179335398,543948.136943021
b_t,1980,188113.595975521,187180.907556128,26193.147753592,533742.978119676
b_t,1981,174612.149826411,194483.469054283,28040.8626535474,561067.049796228
b_t,1982,203224.955370823,204697.718969034,24385.5392147954,573617.242565358
b_t,1983,192697.209096708,211935.041064909,25185.4530301604,559225.379607642
b_t,1984,184371.481927175,195407.342495982,22995.3669589039,550896.201835125
b_t,1985,210359.300029408,212769.115046962,18164.4984719216,604981.741810113
b_t,1986,182478.524821222,178402.530037716,28366.1718501492,484148.791054484
b_t,1987,198059.241561599,200361.208267652,23492.4311296413,552968.944163621
b_t,1988,198106.680366922,264927.767374399,18612.3437540194,681505.670246284
b_t,1989,183576.16781716,184048.357602556,22726.1161401819,533560.399127534
b_t,1990,241629.657198664,255279.864618575,35963.3061982221,764795.148150714
b_t,1991,219880.847593619,256111.991531998,22193.6134666877,723642.043621764
b_t,1992,238417.089445001,216463.680066483,26375.11522418,665221.343110697
b_t,1993,212695.404514434,190588.929560974,33142.8185337135,566079.316390189
b_t,1994,255442.762350616,266234.8249182,37687.2743520626,765575.463001598
b_t,1995,231339.93000788,212526.080211639,37998.2431914581,600628.304468496
b_t,1996,226367.172160129,210919.587707993,37885.9624503112,618559.431664123
b_t,1997,221538.856129865,197971.157623224,38103.7715525047,572895.089901253
b_t,1998,231859.700707334,224081.626488313,39915.9805510025,681449.647166749
b_t,1999,221277.360647396,207685.355135476,36360.773985001,586139.148310042
b_t,2000,197500.505583318,186450.737484271,31009.6325909072,527194.292333049
b_t,2001,212217.161791263,203817.629204954,36995.0959741718,599841.343818125
b_t,2002,200806.96754558,203519.484717594,29233.7589584258,549652.576814301
b_t,2003,169966.684486469,188751.652866316,17170.2860235845,473692.769930465
b_t,2004,193213.112904111,199695.748669838,25426.6323975909,612525.063642022
b_t,2005,161091.845764155,168149.143640848,19986.1427796997,468651.552917478
b_t,2006,187911.376599064,191628.985430659,26194.6219398076,520018.635552154
b_t,2007,187778.951013343,203651.623427054,24791.2415025844,589711.821939418
b_t,2008,256381.250781951,239261.873444999,45887.9477491911,785090.478483342
b_t,2009,228321.099586828,257224.11190966,25959.6303181684,660943.407176728
b_t,2010,234228.939297191,258871.514237653,36133.905303986,704341.815930405
