variable,year,mean,sd,lower,upper
b_t,1951,18939.875404009,7161.12768120869,9027.27570652302,31180.1530009747
b_t,1952,3141.49469041295,1597.15645190235,1138.96138363963,5695.24008429325
b_t,1953,1424.12315387786,831.390593242864,554.918296113772,2908.74766203394
b_t,1954,1314.46032289738,752.040038795431,479.134696871089,2604.88390434
b_t,1955,1260.19427538783,756.91231027725,460.452921933523,2551.97040066947
b_t,1956,1136.40596134516,745.120653323889,429.199791402486,2425.59334450421
b_t,1957,995.051133639946,599.443335590482,368.653335292522,2028.14080324214
b_t,1958,918.153118416953,557.211594885071,365.907875114083,1870.1350470377
b_t,1959,969.863704025935,641.386351043578,350.045999283605,2097.70036241353
b_t,1960,796.133634421731,474.7380947843,315.323576540344,1607.21568466922
b_t,1961,880.952125152668,487.679379961581,369.034686751331,1734.0365150706
b_t,1962,733.954451347046,451.202443352278,265.110093759537,1565.37928816952
b_t,1963,756.24728839757,424.763339188786,294.880639582988,1534.29660739181
b_t,1964,728.199538113828,423.253769217872,269.191855975974,1510.20515135449
b_t,1965,703.243145473403,397.44098462418,265.751305022909,1475.47482737612
b_t,1966,741.170082133266,447.864562526771,276.601837424507,1537.07246700402
b_t,1967,602.978257192606,338.589667749113,213.276167225073,1218.26742203714
b_t,1968,656.488096989178,400.216227163415,242.262917221913,1412.83299385244
b_t,1969,674.115362253039,372.282066398349,276.860276351518,1300.20349217038
b_t,1970,792.828600470721,454.366119571975,310.813656333295,1548.30114475685
b_t,1971,888.565119430245,525.447378215797,329.950589211813,1719.39103949561
b_t,1972,833.676073802855,456.553410390207,338.350932007228,1600.08213860427
b_t,1973,1005.70123877142,671.86104378676,404.819799794016,2145.24327492244
b_t,1974,1057.66024560973,643.31176392133,427.44201940457,2210.57468598258
b_t,1975,1459.7736926851,880.444594662024,546.105843764287,3108.99268970822
b_t,1976,1839.21909031203,1112.26349301092,648.330358675831,3772.13413717246
b_t,1977,2043.04676135805,1018.25297279624,836.443277693683,3951.79110526228
b_t,1978,1592.93571540725,867.319341251997,694.022873792153,3043.19530285868
b_t,1979,1545.91701773305,933.596522025394,573.71558871593,3100.62617168051
b_t,1980,1831.78161124593,1341.25037573506,615.057835934412,4168.83823504616
b_t,1981,1961.30156660693,1124.71278739313,777.171162030236,3850.66587226499
b_t,1982,2390.40731197368,1384.67907935908,947.157016126996,4803.07686515153
b_t,1983,2704.22558808456,1423.99145346688,1056.50716202807,5141.15890012737
b_t,1984,3688.91720828323,2098.18070296113,1365.65908440722,7447.86965153422
b_t,1985,9222.23986359066,5369.58498783618,3445.85147867727,19363.0764853725
b_t,1986,12469.7125222069,7489.67813136028,4529.29286227499,26037.5031764256
b_t,1987,16184.6322788496,11073.0360477799,5639.21326738263,37150.2498401172
b_t,1988,15343.2590034112,7720.39369230618,6300.57260749027,29019.4994403355
b_t,1989,19926.1620760523,13518.2686487356,7970.30341978921,43859.9734188928
b_t,1990,19560.8847368493,10073.3053336813,7246.70824816789,38162.0161587564
b_t,1991,22194.0812036492,14900.5810118932,7184.53785204947,51980.9702901376
b_t,1992,25645.0616920218,14880.5903859851,8584.85718243879,55636.6482065759
b_t,1993,30365.3921000827,16667.7989036491,14072.6003457232,58303.889993707
b_t,1994,32610.3382409183,18136.0570169287,13706.0237278506,66488.8122999232
b_t,1995,33355.9316028815,17964.8530679312,13243.1872404764,64154.1225285503
b_t,1996,33852.3535227686,19378.1130054688,12674.3367136336,66441.1591017651
b_t,1997,32584.5745894819,17967.2547678683,13657.870750467,60140.3473311611
b_t,1998,28698.4920675918,15788.0477549502,11859.1855670714,55809.3108563771
b_t,1999,32938.8382997018,17759.2156397599,12563.4552574228,61939.6554823454
b_t,2000,27811.1432718384,15696.6799116341,11997.8360583788,56409.305133907
b_t,2001,25190.2650921381,14025.230612358,9749.47440227935,50680.8897716652
b_t,2002,26115.5923450685,14656.5116326802,9030.35870927191,54137.6751667888
b_t,2003,25203.526138153,16513.689856816,10060.2121135103,53505.8285154823
b_t,2004,24287.6008627204,13153.0696179328,10363.6847850299,44804.5433081338
b_t,2005,23583.1139849376,11887.1406898319,9713.84049759444,45071.0267607418
b_t,2006,29672.6803335991,16657.0801422824,10081.7799387746,58572.5358785132
b_t,2007,27625.2653057124,15200.7047336504,11279.4617120376,53263.4695822118
b_t,2008,28157.0190874943,14609.5629878328,11455.6580955786,49503.5595110772
b_t,2009,33745.2189788587,16469.538065637,15691.2841972725,60965.8641613398
b_t,2010,36725.3582755209,25014.8811138833,15312.9000030933,71127.2577239293
b_t,2011,33194.08502087,22332.6627442325,13585.0113022492,66443.4211524598
b_t,2012,31362.263705233,17979.8300522513,13255.9279927636,62003.3709085453
b_t,2013,32506.4767616937,15846.0442975422,13308.6118709646,59645.5166747999
b_t,2014,31304.0101091683,15204.0462033641,13888.8090565,58575.6156047421
b_t,2015,29904.8735160651,17249.2785661786,9984.51363779675,63749.3224040046
b_t,2016,24966.7806715638,22683.907244596,7169.73864309922,55825.3110104003
b_t,2017,21365.2373935348,14204.5943119684,5960.15644231704,48799.8649447065
b_t,2018,17434.5586301145,12557.5325913484,5928.34827469867,36616.185197123
b_t,2019,12194.4339598851,5794.16824971767,5721.44901297561,22327.9886070338
bmsy,1951,12947.0707084407,5151.92902143004,6973.10786414612,21286.2825605531
ck,1951,0.000131522563167096,4.69617402999622e-05,7.04679173481138e-05,0.000215112129976629
ck,1952,0.000131522563167096,4.69617402999622e-05,7.04679173481138e-05,0.000215112129976629
ck,1953,0.000131522563167096,4.69617402999622e-05,7.04679173481138e-05,0.000215112129976629
ck,1954,0.000175363417556128,6.2615653733283e-05,9.39572231308184e-05,0.000286816173302173
ck,1955,0.000175363417556128,6.2615653733283e-05,9.39572231308184e-05,0.000286816173302173
ck,1956,0.000175363417556128,6.2615653733283e-05,9.39572231308184e-05,0.000286816173302173
ck,1957,0.000175363417556128,6.2615653733283e-05,9.39572231308184e-05,0.000286816173302173
ck,1958,0.000175363417556128,6.2615653733283e-05,9.39572231308184e-05,0.000286816173302173
ck,1959,0.000175363417556128,6.2615653733283e-05,9.39572231308184e-05,0.000286816173302173
ck,1960,0.000175363417556128,6.2615653733283e-05,9.39572231308184e-05,0.000286816173302173
ck,1961,0.000175363417556128,6.2615653733283e-05,9.39572231308184e-05,0.000286816173302173
ck,1962,0.00021920427194516,7.82695671666037e-05,0.000117446528913523,0.000358520216627716
ck,1963,0.00021920427194516,7.82695671666037e-05,0.000117446528913523,0.000358520216627716
ck,1964,0.00021920427194516,7.82695671666037e-05,0.000117446528913523,0.000358520216627716
ck,1965,0.00021920427194516,7.82695671666037e-05,0.000117446528913523,0.000358520216627716
ck,1966,0.000263045126334192,9.39234805999245e-05,0.000140935834696228,0.000430224259953259
ck,1967,0.000263045126334192,9.39234805999245e-05,0.000140935834696228,0.000430224259953259
ck,1968,0.000263045126334192,9.39234805999245e-05,0.000140935834696228,0.000430224259953259
ck,1969,0.000306885980723224,0.000109577394033245,0.000164425140478932,0.000501928303278802
ck,1970,0.000263045126334192,9.39234805999245e-05,0.000140935834696228,0.000430224259953259
ck,1971,0.000263045126334192,9.39234805999245e-05,0.000140935834696228,0.000430224259953259
ck,1972,0.000306885980723224,0.000109577394033245,0.000164425140478932,0.000501928303278802
ck,1973,0.000350726835112257,0.000125231307466566,0.000187914446261637,0.000573632346604345
ck,1974,0.000394567689501289,0.000140885220899887,0.000211403752044341,0.000645336389929888
ck,1975,0.000569931107057417,0.00020350087463317,0.00030536097517516,0.000932152563232061
ck,1976,0.000657612815835481,0.000234808701499811,0.000352339586740569,0.00107556064988315
ck,1977,0.000789135379002577,0.000281770441799773,0.000422807504088683,0.00129067277985978
ck,1978,0.000832976233391609,0.000297424355233094,0.000446296809871388,0.00136237682318532
ck,1979,0.000701453670224513,0.000250462614933132,0.000375828892523274,0.00114726469320869
ck,1980,0.000789135379002577,0.000281770441799773,0.000422807504088683,0.00129067277985978
ck,1981,0.000876817087780641,0.000313078268666415,0.000469786115654092,0.00143408086651086
ck,1982,0.00118370306850387,0.00042265566269966,0.000634211256133024,0.00193600916978967
ck,1983,0.00113986221411483,0.000407001749266339,0.00061072195035032,0.00186430512646412
ck,1984,0.00118370306850387,0.00042265566269966,0.000634211256133024,0.00193600916978967
ck,1985,0.00964498796558706,0.00344386095533056,0.00516764727219501,0.0157748895316195
ck,1986,0.00999571480069931,0.00356909226279713,0.00535556171845665,0.0163485218782238
ck,1987,0.0101710782182554,0.00363170791653041,0.00544951894158747,0.016635338051526
ck,1988,0.0125384843552632,0.00447701924192973,0.00671794145385352,0.0205073563911053
ck,1989,0.0138098691325451,0.00493098273149604,0.00739913132155195,0.0225867736475461
