variable,year,mean,sd,lower,upper
b_t,1951,3854481.01795255,3297224.27998846,1122490.87275351,10124089.8977727
b_t,1952,3417910.91150434,4699484.13999492,379538.880198077,12181995.975663
b_t,1953,2866152.51011169,3611483.60769776,288207.229169273,8962601.68330379
b_t,1954,2523441.35876889,3246925.34052918,253748.059114315,7423360.36745198
b_t,1955,2073102.26823977,2484267.2160922,274990.029420421,6213562.15759161
b_t,1956,2962217.46302754,3968936.89224363,291077.997089051,10099485.8319906
b_t,1957,2733226.24809667,3866794.57386619,272475.615340319,8463053.25247103
b_t,1958,2795929.79552574,4651538.78707952,335911.842932864,7656722.48172588
b_t,1959,2973888.23627217,4680623.24208999,234619.676668681,9420879.65996718
b_t,1960,3561385.81891229,4782091.05129645,511203.129567518,10659668.7614754
b_t,1961,3244091.49356898,3892918.23526815,430797.126187412,9059237.55273711
b_t,1962,2943960.50378528,4412625.04175921,314110.24435348,9743086.68250298
b_t,1963,3055929.96761821,4077736.67487017,459979.616751095,8714043.34823776
b_t,1964,3112341.73340831,3968997.9137973,356914.200914508,9136562.77717344
b_t,1965,3613132.62680039,4389951.58904182,400440.687923185,11767231.3150957
b_t,1966,2913011.24176677,4176881.87161003,139795.212822681,9944907.43616618
b_t,1967,2865746.0977462,3966712.68487772,297656.535937863,8494552.43952781
b_t,1968,2046548.18564067,2930917.01673339,176015.047690592,6901517.57552475
b_t,1969,2600772.6275617,3671497.65122291,193435.556065778,7705256.83868288
b_t,1970,2743755.81275119,2920618.51367266,344422.871093019,8262208.59590853
b_t,1971,2864066.09280916,3514614.32692875,310614.080333917,9083767.75836335
b_t,1972,3348794.77960643,4502565.42118457,329025.330295424,9650525.1791458
b_t,1973,2393090.24731905,3364051.54207864,221163.640887758,7694599.74118577
b_t,1974,2274276.41828536,3241640.92151997,286369.597605155,7716255.48583011
b_t,1975,2555033.17523384,4055985.40236637,242570.201272015,8186632.25732463
b_t,1976,2352045.43915961,3420905.13849935,125808.6626363,6640078.11947391
b_t,1977,2297507.36454649,3255032.44440559,230605.881872452,7303517.01715663
b_t,1978,1985894.8377213,2424258.48986577,232977.016932366,5561517.76484193
b_t,1979,1922152.56755614,3269820.33565449,163851.181763388,7311080.91315875
b_t,1980,2531710.42151048,5216781.97384203,144892.031312877,8560045.05210179
b_t,1981,2513975.22897709,4024061.33018047,299028.747639932,7635889.54667694
b_t,1982,2333240.75286768,2766459.79906633,307949.549362867,6902747.70670348
b_t,1983,2218368.28970971,3125136.46773406,208750.763639641,6994653.75572963
b_t,1984,1819478.74739082,3428163.50026601,165793.664709734,5458715.85670647
b_t,1985,1739096.58277753,2967575.29503369,149855.87496439,5528897.05591254
b_t,1986,1903774.68022355,3116303.15926761,129178.671830359,6420209.6054255
b_t,1987,1774516.42744309,2431004.95254987,233967.369877742,5489647.78721878
b_t,1988,1409532.60951912,2583933.70790841,122366.980875029,4397465.03108901
b_t,1989,1167200.89557211,2137277.34307268,126363.915025582,3545169.93038723
b_t,1990,1360699.33380744,2367437.32152287,130004.642947353,5048519.98328472
b_t,1991,779956.737205345,1353600.52303192,77361.5171149502,2535768.57582083
b_t,1992,674139.557985273,1304330.77924311,48161.3802424665,2436280.44479776
b_t,1993,550431.829468002,935528.720034519,37948.3900190428,2008160.01510766
b_t,1994,516357.45720491,791949.747837636,38562.3393998075,1862083.75070619
b_t,1995,738190.724091224,1439713.1269215,59679.9157243989,2518585.2247805
b_t,1996,1139172.79229775,3175099.76338778,81332.9289849304,3780544.1562238
b_t,1997,837409.566962951,1616940.89548174,70576.0103543962,2753195.50738465
b_t,1998,746048.901229712,1165907.67986038,61286.1487498489,2398923.53727627
b_t,1999,776736.361252163,1374594.09069631,76324.4925346917,2327684.45034189
b_t,2000,770935.364650208,1249804.75639801,74981.8386787237,2451201.84639534
b_t,2001,525411.869015475,965921.005112216,51632.4192216061,1637331.15805865
b_t,2002,765667.434563963,1206899.24839292,62295.9010395217,2518642.29352325
b_t,2003,575086.754680984,1018084.10122133,48199.5039143507,2210129.70520791
b_t,2004,527565.965226175,1071826.85101711,47762.6551519573,1598177.67793174
